system,10 times,Ave_Test_Class_precision,"	Ave_class_recall","	Ave_class_f1","	Ave_attribute_precision","	Ave_attribute_recall","	Ave_attribute_f1"
BTMS,test_final_average_score,0.358333,0.257143,0.292424,0.12575,0.109091,0.113089
Team Sports Scouting (TSS),test_final_average_score,0.567063,0.29375,0.386027,0.087127,0.108333,0.096169
Smart home automation system (SHAS),test_final_average_score,0.702828,0.3,0.418175,0.16463,0.096154,0.119938
Tile-O,test_final_average_score,0.657738,0.242105,0.352083,0.017938,0.01875,0.01818
Block 223,test_final_average_score,0.700794,0.392308,0.496054,0.265995,0.133333,0.173448
Online Tutoring System (OTS),test_final_average_score,0.704365,0.335294,0.450576,0.139157,0.107692,0.117029
Hotel Booking Management System (HBMS),test_final_average_score,0.875595,0.257895,0.392294,0.211266,0.175758,0.186806
H2S,test_final_average_score,0.329762,0.184615,0.232744,0.074613,0.088235,0.079842
Celebrations Organization System (CelO),test_final_average_score,0.86,0.353846,0.497734,0.124325,0.117391,0.120321
Lab Requisition Management System,test_final_average_score,1,0.3125,0.468983,0.352857,0.167442,0.225496
,,,0.2929456,0.3987094,0.1563658,0.1122179,0.1250318
