------------------------------------------------------------
------------------------------------------------------------
---------------------1/10------Hotel Booking Management System (HBMS):
------------------------------------------------------------
---------------------Baseline AI:
"User:
Generate the lists of model classes and associations from a given description.
Create a class diagram for the following description by giving the enumerations, classes, and relationships using format:
Enumerations:
1.enumerationName(literals)
2.enumerationName(literals)
(there might be no or multiple enumerations)

Class:
1.className(attributeName1 : attributeType1,attributeName2 : attributeType2 (there might be multiple attributes))
2.className(attributeName1 : attributeType1,attributeName2 : attributeType2 (there might be multiple attributes))
(there might be multiple classes)

Relationships
mul1 class1 associate mul2 class2 (class1 and2 are classes above. mul1 and mul2 are one of the following options[0..*, 1, 0..1, 1..*])
(there might be multiple associations)

class1 inherit class2 (class1 and class2 are classes above)
(there might be multiple inheritance)

mul1 class1 contain mul2 class2 (class1 and2 are classes above. mul1 and mul2 are one of the following options[0..*, 1, 0..1, 1..*])
(there might be multiple composition)

Description: Hotel Booking Management System (HBMS)

Business travellers use HMBS for booking special accommodation deals offered by participating hotels. Travellers register to HBMS by providing their name, billing information (incl. company name and address) and optional travel preferences (e.g. breakfast included, free wifi, 24/7 front desk, etc.).

When searching for accommodation, the traveller specifies the city, the date of arrival and departure, the number of needed rooms and the type of rooms (e.g. single, double, twin), minimum hotel rating (stars), a tentative budget (max. cost per night), and optionally, further travel preferences to filter offers in the search results. HBMS lists all available offers of hotels for the given travel period, and the traveller can either create a preliminary booking or complete a booking in the regular way.

In case of a preliminary booking, HBMS forwards the key parameters of the booking information (i.e. price, city area, hotel rating and key preferences and a unique booking identifier) to other hotels so that they can compete for the traveller with special offers provided within the next 24 hours. After 24-hour deadline, HBMS sends the five best special offers to the traveller who can switch to the new offer or proceed with the original preliminary booking.

In both cases, the traveller needs to provide credit card information to finalize a booking. Each finalized booking can be either pre-paid (i.e. paid immediately when it cannot be reimbursed), or paid at hotel (when the traveller pays during his/her stay). A finalized booking needs to be confirmed by the hotel within 24 hours. A booking may also contain a cancellation deadline: if the traveller cancels a confirmed booking before this deadline, then there are no further consequences. However, if a confirmed booking is cancelled after this deadline, then 1-night accommodation is charged for the traveller. HBMS stores all past booking information for a traveller to calculate a reliability rating.

Each hotel is located in a city at a particular address, and possibly run by a hotel chain. A hotel may announce its available types of rooms for a given period in HBMS, and may also inform HBMS when a particular type of room is fully booked. HBMS sends information about the preliminary booking information to competitor hotels together with the traveller's preferences and his/her reliability rating. The competitor hotels may then provide a special offer. Once a booking is finalized, the hotel needs to send a confirmation to the traveller. If a completed booking is not confirmed by the hotel within 24 hours, then HBMS needs to cancel it, and reimburse the traveller in case of a pre-paid booking. If the hotel needs to cancel a confirmed booking, then financial compensation must be offered to the traveller.

AI:Enumerations:
1. RoomType(single, double, twin)
2. PaymentType(pre-paid, paid at hotel)

Class:
1. Traveller(name : string, billingInfo : string, company : string, address : string, travelPreferences : string)
2. Hotel(name : string, city : string, address : string, rating : int, roomTypes : RoomType[], availableRooms : RoomType[], hotelChain : string)
3. Booking(dateArrival : date, dateDeparture : date, numRooms : int, roomType : RoomType, minRating : int, maxCostPerNight : double, travelPreferences : string, price : double, cityArea : string, keyPreferences : string, bookingIdentifier : string, creditCardInfo : string, paymentType : PaymentType, confirmationDeadline : date, cancellationDeadline : date)

Relationships:
Traveller 1..* contain Booking
Hotel 1..* contain Booking
Traveller inherit Hotel"
"
"
------------------------------------------------------------
 O  Class:RoomType  Oracle:RoomType
   O  Attribute:single  Oracle:SINGLE 
   O  Attribute:double  Oracle:DOUBLE 
   O  Attribute:twin  Oracle:TWIN 
 O  Class:PaymentType  Oracle:PaymentType
   O  Attribute:pre-paid  Oracle:PREPAID 
   X  Attribute:at 
 O  Class:Traveller  Oracle:Traveller
   X  Attribute:name  
   X  Attribute:billingInfo  
   X  Attribute:company  
   X  Attribute:address  
   X  Attribute:travelPreferences  
 O  Class:Hotel  Oracle:Hotel
   X  Attribute:name  
   X  Attribute:city  
   X  Attribute:address  
   X  Attribute:rating  
   X  Attribute:roomTypes  
   X  Attribute:availableRooms  
   X  Attribute:hotelChain  
 O  Class:Booking  Oracle:Booking
   X  Attribute:dateArrival  
   X  Attribute:dateDeparture  
   X  Attribute:numRooms  
   X  Attribute:roomType  
   X  Attribute:minRating  
   X  Attribute:maxCostPerNight  
   X  Attribute:travelPreferences  
   X  Attribute:price  
   X  Attribute:cityArea  
   X  Attribute:keyPreferences  
   X  Attribute:bookingIdentifier  
   X  Attribute:creditCardInfo  
   O  Attribute:paymentType   Oracle:paymentType 
   X  Attribute:confirmationDeadline  
   O  Attribute:cancellationDeadline   Oracle:cancellationDeadline 
------------------------------------------------------------
------------------------------------------------------------
---------------------2/10------Hotel Booking Management System (HBMS):
------------------------------------------------------------
---------------------Baseline AI:
"User:
Generate the lists of model classes and associations from a given description.
Create a class diagram for the following description by giving the enumerations, classes, and relationships using format:
Enumerations:
1.enumerationName(literals)
2.enumerationName(literals)
(there might be no or multiple enumerations)

Class:
1.className(attributeName1 : attributeType1,attributeName2 : attributeType2 (there might be multiple attributes))
2.className(attributeName1 : attributeType1,attributeName2 : attributeType2 (there might be multiple attributes))
(there might be multiple classes)

Relationships
mul1 class1 associate mul2 class2 (class1 and2 are classes above. mul1 and mul2 are one of the following options[0..*, 1, 0..1, 1..*])
(there might be multiple associations)

class1 inherit class2 (class1 and class2 are classes above)
(there might be multiple inheritance)

mul1 class1 contain mul2 class2 (class1 and2 are classes above. mul1 and mul2 are one of the following options[0..*, 1, 0..1, 1..*])
(there might be multiple composition)

Description: Hotel Booking Management System (HBMS)

Business travellers use HMBS for booking special accommodation deals offered by participating hotels. Travellers register to HBMS by providing their name, billing information (incl. company name and address) and optional travel preferences (e.g. breakfast included, free wifi, 24/7 front desk, etc.).

When searching for accommodation, the traveller specifies the city, the date of arrival and departure, the number of needed rooms and the type of rooms (e.g. single, double, twin), minimum hotel rating (stars), a tentative budget (max. cost per night), and optionally, further travel preferences to filter offers in the search results. HBMS lists all available offers of hotels for the given travel period, and the traveller can either create a preliminary booking or complete a booking in the regular way.

In case of a preliminary booking, HBMS forwards the key parameters of the booking information (i.e. price, city area, hotel rating and key preferences and a unique booking identifier) to other hotels so that they can compete for the traveller with special offers provided within the next 24 hours. After 24-hour deadline, HBMS sends the five best special offers to the traveller who can switch to the new offer or proceed with the original preliminary booking.

In both cases, the traveller needs to provide credit card information to finalize a booking. Each finalized booking can be either pre-paid (i.e. paid immediately when it cannot be reimbursed), or paid at hotel (when the traveller pays during his/her stay). A finalized booking needs to be confirmed by the hotel within 24 hours. A booking may also contain a cancellation deadline: if the traveller cancels a confirmed booking before this deadline, then there are no further consequences. However, if a confirmed booking is cancelled after this deadline, then 1-night accommodation is charged for the traveller. HBMS stores all past booking information for a traveller to calculate a reliability rating.

Each hotel is located in a city at a particular address, and possibly run by a hotel chain. A hotel may announce its available types of rooms for a given period in HBMS, and may also inform HBMS when a particular type of room is fully booked. HBMS sends information about the preliminary booking information to competitor hotels together with the traveller's preferences and his/her reliability rating. The competitor hotels may then provide a special offer. Once a booking is finalized, the hotel needs to send a confirmation to the traveller. If a completed booking is not confirmed by the hotel within 24 hours, then HBMS needs to cancel it, and reimburse the traveller in case of a pre-paid booking. If the hotel needs to cancel a confirmed booking, then financial compensation must be offered to the traveller.

AI:Enumerations:
1. RoomType(single, double, twin)
2. PaymentType(pre-paid, paid at hotel)

Classes:
1. Traveller(name : string, billingInfo : string, company : string, address : string, travelPreferences : string)
2. Hotel(name : string, city : string, address : string, rating : int, roomTypes : list<RoomType>, hotelChain : string)
3. Booking(city : string, arrivalDate : date, departureDate : date, numRooms : int, roomType : RoomType, minRating : int, maxCostPerNight : double, travelPreferences : string, price : double, cityArea : string, keyPreferences : string, uniqueBookingId : string, paymentInfo : string, paymentType : PaymentType, confirmationStatus : boolean, cancellationDeadline : date)
4. CompetitorHotel(name : string, specialOffer : string, travellerPreferences : string, travellerReliabilityRating : int)

Relationships:
Traveller contain 0..* Booking
Traveller inherit CompetitorHotel
Hotel contain 0..* RoomType
Hotel associate 0..* Booking
Booking associate 1 Hotel
Booking inherit Traveller"
"
"
------------------------------------------------------------
 O  Class:RoomType  Oracle:RoomType
   O  Attribute:single  Oracle:SINGLE 
   O  Attribute:double  Oracle:DOUBLE 
   O  Attribute:twin  Oracle:TWIN 
 O  Class:PaymentType  Oracle:PaymentType
   O  Attribute:pre-paid  Oracle:PREPAID 
   X  Attribute:at 
 O  Class:Traveller  Oracle:Traveller
   X  Attribute:name  
   X  Attribute:billingInfo  
   X  Attribute:company  
   X  Attribute:address  
   X  Attribute:travelPreferences  
 O  Class:Hotel  Oracle:Hotel
   X  Attribute:name  
   X  Attribute:city  
   X  Attribute:address  
   X  Attribute:rating  
   X  Attribute:roomTypes  
   X  Attribute:hotelChain  
 O  Class:Booking  Oracle:Booking
   X  Attribute:city  
   X  Attribute:arrivalDate  
   X  Attribute:departureDate  
   X  Attribute:numRooms  
   X  Attribute:roomType  
   X  Attribute:minRating  
   X  Attribute:maxCostPerNight  
   X  Attribute:travelPreferences  
   X  Attribute:price  
   X  Attribute:cityArea  
