system,10 times,Ave_Test_Class_precision,	Ave_class_recall,	Ave_class_f1,	Ave_attribute_precision,	Ave_attribute_recall,	Ave_attribute_f1,
BTMS ,test average,0.294643,0.228571,0.255325,0.097944,0.090909,0.091798
Team Sports Scouting (TSS) ,test average,0.555556,0.293750,0.384000,0.084932,0.100000,0.091358
Smart home automation system (SHAS) ,test average,0.701632,0.321739,0.437825,0.174310,0.107692,0.131661
Tile-O ,test average,0.678810,0.200000,0.302927,0.057354,0.056250,0.055743
Block 223 ,test average,0.756014,0.446154,0.556687,0.286076,0.140000,0.187252
Online Tutoring System (OTS) ,test average,0.789325,0.329412,0.457478,0.170046,0.126923,0.142997
Hotel Booking Management System (HBMS) ,test average,0.812341,0.273684,0.405611,0.188017,0.178788,0.180830
H2S ,test average,0.287857,0.153846,0.198314,0.041946,0.041176,0.041386
Celebrations Organization System (CelO) ,test average,0.830000,0.384615,0.522967,0.107919,0.108696,0.108044
Lab Requisition Management System ,test average,1.000000,0.343750,0.506738,0.372837,0.176744,0.238817
