system,10 times,Ave_Test_Class_precision,	Ave_class_recall,	Ave_class_f1,	Ave_attribute_precision,	Ave_attribute_recall,	Ave_attribute_f1,
BTMS,test_final_average_score,0.443810,0.357143,0.394322,0.363367,0.509091,0.419414
Team Sports Scouting (TSS),test_final_average_score,0.573680,0.400000,0.469972,0.176508,0.150000,0.161366
Smart home automation system (SHAS),test_final_average_score,0.736566,0.334783,0.459599,0.135321,0.153846,0.143703
Tile-O,test_final_average_score,0.530556,0.242105,0.331928,0.154238,0.287500,0.200537
Block 223,test_final_average_score,0.649466,0.407692,0.497273,0.236234,0.203333,0.217087
Online Tutoring System (OTS),test_final_average_score,0.721674,0.317647,0.434241,0.141609,0.126923,0.132797
Hotel Booking Management System (HBMS),test_final_average_score,0.782421,0.326316,0.458264,0.315705,0.275758,0.291818
H2S,test_final_average_score,0.293765,0.238462,0.262091,0.068514,0.123529,0.087448
Celebrations Organization System (CelO),test_final_average_score,0.706310,0.423077,0.527320,0.104652,0.165217,0.128069
Lab Requisition Management System,test_final_average_score,0.907842,0.556250,0.686498,0.321927,0.309302,0.314834
