system,10 times,Ave_Test_Class_precision,	Ave_class_recall,	Ave_class_f1,	Ave_attribute_precision,	Ave_attribute_recall,	Ave_attribute_f1,
TSS ,test average,0.544538,0.362500,0.433476,0.161332,0.141667,0.150304
CeIO ,test average,0.719643,0.407692,0.517219,0.109510,0.165217,0.131280
BTMS ,test average,0.370476,0.300000,0.330220,0.307040,0.436364,0.356515
H2S ,test average,0.246727,0.192308,0.214440,0.020555,0.033333,0.025219
Lab Requisition Management System ,test average,0.927009,0.543750,0.680512,0.332932,0.309302,0.318107
Hotel Booking Management System (HBMS) ,test average,0.746230,0.278947,0.402569,0.265997,0.218182,0.236635
SHAS ,test average,0.739899,0.330435,0.456309,0.127046,0.142308,0.133990
OTS ,test average,0.663810,0.281250,0.393003,0.079624,0.068000,0.072928
DBA ,test average,0.726696,0.386667,0.501384,0.181447,0.156667,0.166859
TiOA ,test average,0.313413,0.136842,0.190081,0.122386,0.218750,0.156560
