AI_answer_after_cut:
+ RoomType extends Hotel
+ PaymentType extends Hotel
+ Traveller extends Hotel
+ Hotel extends HotelChain
+ Booking extends Hotel
+ BillingInformation extends Hotel
+ Offer extends Hotel
+ Period extends Hotel
+ CreditCardInformation extends Hotel
+ HotelChain extends Hotel
+ CancellationPolicy extends Hotel

# 
generated_inheritances_count,11
matched_inheritances_count,0
oracle_inheritances_count,4
AI_answer_after_cut:
+ RoomType extends Hotel
+ PaymentType extends Booking
+ Traveller extends Booking
+ Booking extends Hotel
+ Hotel extends Offer

#
generated_inheritances_count,5
matched_inheritances_count,0
oracle_inheritances_count,4
AI_answer_after_cut:
+ Hotel extends HotelBookingManagementSystem
+ HotelOffer extends Hotel
+ HotelChain extends Hotel
+ Booking extends HotelBookingManagementSystem
+ BillingInformation extends HotelBookingManagementSystem
+ Traveller extends HotelBookingManagementSystem

# 
generated_inheritances_count,6
matched_inheritances_count,0
oracle_inheritances_count,4
AI_answer_after_cut:
+ Hotel extends Offer
+ Booking extends Offer

#
generated_inheritances_count,2
matched_inheritances_count,0
oracle_inheritances_count,4
AI_answer_after_cut:
+ RoomType() extends Booking()
+ Traveller() extends Booking()
+ Hotel() extends Booking()
+ Offer() extends Booking() 

# 
generated_inheritances_count,4
matched_inheritances_count,0
oracle_inheritances_count,4
AI_answer_after_cut:
+ RoomType extends Hotel
+ PaymentType extends Hotel
+ Traveller extends Hotel
+ HotelBookingManagementSystem extends Hotel
+ BookingInformation extends Hotel
+ Hotel extends Hotel
+ CompetitorHotel extends Hotel
+ Booking extends Hotel
+ CreditCardInformation extends Hotel

# 
generated_inheritances_count,9
matched_inheritances_count,0
oracle_inheritances_count,4
AI_answer_after_cut:
+ Traveller() extends BillingInformation()
+ Booking() extends Confirmation()
+ Hotel() extends RoomAvailability()
+ CompetitorHotel() extends Hotel()
+ Confirmation() extends CreditCardInformation()
+ BillingInformation() extends CreditCardInformation()
+ ReliabilityRating() extends Booking()
generated_inheritances_count,7
matched_inheritances_count,0
oracle_inheritances_count,4
AI_answer_after_cut:
+ Traveller extends HBMS
+ Hotel extends HBMS
+ Booking extends HBMS
+ CompetitorHotel extends HBMS

# 
generated_inheritances_count,4
matched_inheritances_count,0
oracle_inheritances_count,4
AI_answer_after_cut:
+ RoomType() extends Booking()
+ Traveller() extends Booking()
+ Hotel() extends Booking()
+ CreditCardInformation() extends Booking()

# 
generated_inheritances_count,4
matched_inheritances_count,0
oracle_inheritances_count,4
AI_answer_after_cut:
+ Room extends RoomType
+ PaymentType extends PaymentType
+ Traveller extends Traveller
+ Hotel extends Hotel
+ Room extends Room
+ Booking extends Booking
+ BillingInformation extends BillingInformation
+ CreditCardInformation extends CreditCardInformation
+ Offer extends Offer
+ CompetitorHotel extends CompetitorHotel
+ Confirmation extends Confirmation

# 
generated_inheritances_count,11
matched_inheritances_count,0
oracle_inheritances_count,4
