name,cycle,asso_presicion,asso_recall,asso_F1,inhe_precision,inhe_recall,inhe_F1
TSS,summary_result,0.332404,0.271429,0.294340
CeIO,summary_result,0.443174,0.300000,0.350582
BTMS,summary_result,0.134365,0.133333,0.129359
H2S,summary_result,0.211725,0.211111,0.204984
Lab Requisition Management System,summary_result,0.427798,0.286364,0.340128
Hotel Booking Management System (HBMS),summary_result,0.255907,0.253333,0.243776
SHAS,summary_result,0.468983,0.311111,0.367121
OTS,summary_result,0.433965,0.270000,0.322324
DBA,summary_result,0.430132,0.310526,0.345443
TiOA,summary_result,0.353521,0.290000,0.311471
