AI_answer_after_cut:
+ PickupRequest extends Resident
+ Article extends ItemCategory
+ VolunteerDriver extends Resident
+ DistributionCenter extends PickupStatus
+ FoodBank extends DistributionCenter

# 
generated_inheritances_count,5
matched_inheritances_count,0
oracle_inheritances_count,5
AI_answer_after_cut:
+ PickupRequest extends Resident
+ PickupVehicle extends Vehicle
+ VolunteerDriver extends Person
+ PickupRoute extends Route
+ SecondHandArticle extends Article
+ NonPerishableFood extends Food
+ DistributionCenter extends Center
+ H2SEmployee extends Employee

#
generated_inheritances_count,1
matched_inheritances_count,0
oracle_inheritances_count,5
AI_answer_after_cut:
+ PickupRequest extends Resident
+ PickupVehicle extends Vehicle
+ VolunteerDriver extends Resident
+ PickupRoute extends Route
+ SecondHandArticle extends Item
+ FoodDonation extends Item
+ DistributionCenter extends Center
+ H2SEmployee extends Employee
+ Client extends Resident
+ Delivery extends Route
+ FoodBank extends Center

#
generated_inheritances_count,3
matched_inheritances_count,0
oracle_inheritances_count,5
AI_answer_after_cut:
+ PickupService extends Vehicle
+ VolunteerDriver extends Vehicle
+ SecondHandArticle extends ItemCategory

#
generated_inheritances_count,3
matched_inheritances_count,0
oracle_inheritances_count,5
AI_answer_after_cut:
+ PickupService() extends Vehicle()
+ VolunteerDriver() extends Vehicle()
+ DistributionCenter() extends SecondHandArticle()
+ FoodBank() extends SecondHandArticle()

#
generated_inheritances_count,4
matched_inheritances_count,0
oracle_inheritances_count,5
AI_answer_after_cut:
+ PickupService extends HelpingHandStore
+ PickupVehicle extends HelpingHandStore
+ VolunteerDriver extends HelpingHandStore
+ DistributionCenter extends HelpingHandStore
+ Resident extends HelpingHandStore
+ Item extends HelpingHandStore
+ Dimensions extends HelpingHandStore
+ FoodBank extends HelpingHandStore
+ Category extends HelpingHandStore
+ DayOfWeek extends HelpingHandStore

#
generated_inheritances_count,10
matched_inheritances_count,0
oracle_inheritances_count,5
AI_answer_after_cut:
+ PickupRequest extends Resident
+ PickupVehicle extends HelpingHandStore
+ VolunteerDriver extends HelpingHandStore
+ SecondHandArticle extends PickupRequest
+ FoodItem extends PickupRequest
+ DistributionCenterEmployee extends HelpingHandStore
+ FoodBank extends HelpingHandStore
+ RFIDDevice extends SecondHandArticle
+ Category extends HelpingHandStore
+ Weekday extends HelpingHandStore

#
generated_inheritances_count,10
matched_inheritances_count,0
oracle_inheritances_count,5
AI_answer_after_cut:
+ PickupService extends HelpingHandStore
+ Resident extends HelpingHandStore
+ PickupVehicle extends HelpingHandStore
+ VolunteerDriver extends HelpingHandStore
+ H2SEmployee extends HelpingHandStore
+ ScheduledPickup extends HelpingHandStore
+ Quality extends HelpingHandStore

#
generated_inheritances_count,7
matched_inheritances_count,0
oracle_inheritances_count,5
AI_answer_after_cut:
+ Client extends Resident
+ PickupRequest extends Resident
+ SecondHandArticle extends PickupRequest
+ NonPerishableFood extends PickupRequest
+ VolunteerDriver extends Resident
+ RFIDTag extends SecondHandArticle
+ ArticleCategory extends HelpingHandStore
+ DistributionCenter extends HelpingHandStore

#
generated_inheritances_count,8
matched_inheritances_count,0
oracle_inheritances_count,5
AI_answer_after_cut:
+ Resident extends Client
+ PickupRequest extends Item
+ Vehicle extends PickupDayOfWeek

#
generated_inheritances_count,3
matched_inheritances_count,0
oracle_inheritances_count,5
