name,cycle,asso_presicion,asso_recall,asso_F1,inhe_precision,inhe_recall,inhe_F1
TSS,summary_result,0.390179,0.347619,0.364962,,,
CeIO,summary_result,0.550029,0.389474,0.446235,,,
BTMS,summary_result,0.341047,0.333333,0.321964,,,
H2S,summary_result,0.311347,0.283333,0.290301,,,
Lab Requisition Management System,summary_result,0.519876,0.359091,0.416661,,,
Hotel Booking Management System (HBMS),summary_result,0.437688,0.346667,0.376796,,,
SHAS,summary_result,0.530236,0.392593,0.432434,,,
OTS,summary_result,0.504643,0.315,0.373877,,,
DBA,summary_result,0.476222,0.278947,0.333956,,,
TiOA,summary_result,0.311134,0.285,0.271966,,,
