name,presicion,recall,F1
TSS,0.17290799354098588,0.19523809523809524,0.18203171341473184
CeIO,0.2629829608861867,0.3263157894736842,0.28572400395569414
BTMS,1.0,0.9888888888888889,0.9941176470588236
H2S,0.3763492063492063,0.17777777777777778,0.24028774928774926
Lab Requisition Management System,0.4845488721804512,0.36363636363636365,0.41417277537945074
Hotel Booking Management System (HBMS),0.14787560650563744,0.24,0.17856796539593253
SHAS,0.5456944444444444,0.2851851851851852,0.3716047559607256
OTS,0.25743251313903487,0.19999999999999998,0.2240413713053932
DBA,0.3754050686977085,0.4947368421052632,0.4247164845116643
TiOA,0.40681401931401934,0.225,0.27377624749558477
