---------------------1/10------H2S:
AI_answer_after_cut:
+ * H2S associate * PickupDeliveryService
+ 1 PickupDeliveryService associate * Resident
+ * PickupDeliveryService associate * Vehicle
+ * Vehicle associate * Volunteer
+ * Vehicle associate * Route
+ * Resident associate * ItemDescription
+ * ItemDescription associate * SecondHandArticle
+ * SecondHandArticle associate * RFIDTag
+ * SecondHandArticle associate * ItemCategory
+ * Client associate * ItemCategory


+ 1 PickupDeliveryService contain * PickupRequest
+ 1 Vehicle contain * ScheduledItem
+ 1 Vehicle contain * Route
+ 1 SecondHandArticle contain * ItemDescription


+ UserRole extends Person
+ Client extends UserRole
+ Volunteer extends UserRole
+ Resident extends Person
+ FoodItem extends Item
+ SecondHandArticle extends Item
+ Vehicle extends Item
+ Route extends Item
+ ItemCategory extends Item
result_presicion = 0.16666666666666666
result_recall = 0.05555555555555555
result_F1 = 0.08333333333333333
---------------------2/10------H2S:
AI_answer_after_cut:
+ 1 H2S associate 1..* PickupService
+ 1 Resident associate 1..* PickupService
+ 1 PickupService associate 1 Vehicle
+ 1 Vehicle associate 1 Route
+ 1 Volunteer associate 1..* Vehicle
+ 1 PickupService associate 1..* ScheduledItem
+ 1 ScheduledItem associate 1..* SecondHandArticle
+ 1 SecondHandArticle associate 1 ItemCategory
+ 1 Client associate 1..* ItemCategory
+ 1 Client associate 1..* ScheduledItem
+ 1 Client associate 1..* Delivery


+ 1 PickupService contain 1..* ScheduledItem
+ 1 Vehicle contain 1..* ScheduledItem


+ UserRole extends Person
+ Client extends UserRole
+ Volunteer extends UserRole
+ Resident extends Person
+ Item extends ItemCategory
result_presicion = 0.2
result_recall = 0.05555555555555555
result_F1 = 0.08695652173913045
---------------------3/10------H2S:
AI_answer_after_cut:
+ 1 H2S associate 0..* PickupService
+ 1 PickupService associate 1..* Resident
+ 1 PickupService associate 1 Vehicle
+ 1 Vehicle associate 1 Route
+ 1 Route associate 1..* ScheduledPickup
+ 1 ScheduledPickup associate 1..* Item
+ 1 Resident associate 1..* ScheduledPickup
+ 1 SecondHandArticle associate 1 ItemCategory
+ 1 SecondHandArticle associate 0..* RFIDTag
+ 1 Client associate 0..* DeliveryRequest
+ 1 DeliveryRequest associate 1..* Item


+ 1 H2S contain 1 DistributionCenter
+ 1 DistributionCenter contain 1..* H2SEmployee
+ 1 Vehicle contain 1..* ScheduledPickup
+ 1 ScheduledPickup contain 1..* Item
+ 1 H2SEmployee contain 0..* RFIDTag
+ 1 H2SEmployee contain 0..* ItemCategory
+ 1 Client contain 0..* DeliveryRequest
+ 1 DeliveryRequest contain 1 Item


+ UserRole extends Person
+ Client extends UserRole
+ Volunteer extends UserRole
+ Resident extends Person
+ Item extends abstract item
+ FoodItem extends abstract item
+ SecondHandArticle extends abstract item
+ Vehicle extends abstract item
+ Route extends abstract item
result_presicion = 0.3333333333333333
result_recall = 0.05555555555555555
result_F1 = 0.09523809523809525
---------------------4/10------H2S:
AI_answer_after_cut:
+ 1 H2S associate 0..* PickupService
+ 1 PickupService associate 1 Resident
+ 1 PickupService associate 1 Vehicle
+ 1 Vehicle associate 1 Route
+ 1 Route associate 0..* Resident
+ 1 Resident associate 1 Person
+ 1 Resident associate 0..* Item
+ 1 Item associate 1 ItemCategory
+ 1 SecondHandArticle associate 1 Item
+ 1 SecondHandArticle associate 0..* RFIDDevice
+ 1 SecondHandArticle associate 1 Date
+ 1 ItemCategory associate 0..* SecondHandArticle
+ 1 Client associate 0..* ItemCategory


+ 1 H2S contain 0..* PickupService
+ 1 H2S contain 0..* Vehicle
+ 1 Vehicle contain 1 Route
+ 1 Route contain 0..* Resident
+ 1 SecondHandArticle contain 0..* RFIDDevice


+ UserRole extends Person
+ Client extends UserRole
+ Volunteer extends UserRole
result_presicion = 0.2222222222222222
result_recall = 0.1111111111111111
result_F1 = 0.14814814814814814
---------------------5/10------H2S:
AI_answer_after_cut:
+ 1 H2S associate 0..* PickupService
+ 1 PickupService associate 1..* PickupRequest
+ 1 PickupService associate 1..* PickupRoute
+ 1 PickupRoute associate 1 Vehicle
+ 1 Vehicle associate 1..* PickupRequest
+ 1 PickupRequest associate 1 Resident
+ 1 Resident associate 1 Person
+ 1 Resident associate 1..* Item
+ 1 Volunteer associate 1 Vehicle
+ 1 Volunteer associate 0..* Date
+ 1 SecondHandArticle associate 1 ItemCategory
+ 1 Client associate 1..* ItemCategory


+ 1 H2S contain 1..* PickupService
+ 1 H2S contain 1 DistributionCenter
+ 1 DistributionCenter contain 1..* SecondHandArticle
+ 1 DistributionCenter contain 1..* FoodItem
+ 1 DistributionCenter contain 0..* Client
+ 1 DistributionCenter contain 0..* DeliveryService
+ 1 PickupService contain 1..* PickupRequest
+ 1 PickupRoute contain 1..* PickupRequest
+ 1 Vehicle contain 0..* PickupRequest
+ 1 Resident contain 1 Address
+ 1 Resident contain 1 Phone
+ 1 Resident contain 0..1 Email
+ 1 Resident contain 1 Description
+ 1 ItemCategory contain 1 CategoryDescription


+ UserRole extends Person
+ Client extends UserRole
+ Volunteer extends UserRole
+ Item extends ItemCategory
result_presicion = 0.2
result_recall = 0.05555555555555555
result_F1 = 0.08695652173913045
---------------------6/10------H2S:
AI_answer_after_cut:
+ 1 Vehicle associate 0..* Route
+ 1 Resident associate 1..* Item
+ 1 Volunteer associate 0..* Route
+ 1 Resident associate 1 PickupRequest
+ 1 PickupRequest associate 1 Vehicle
+ 1 PickupRequest associate 1..* Item
+ 1 PickupRequest associate 1 Date
+ 1 Item associate 1 ItemCategory
+ 1 Item associate 0..* SecondHandArticle
+ 1 SecondHandArticle associate 1 ItemCategory
