---------------------1/10------Hotel Booking Management System (HBMS):
AI_answer_after_cut:
+ 1 HotelBookingManager associate 0..* Traveller
+ 1 HotelBookingManager associate 0..* Hotel
+ 1 HotelBookingManager associate 0..* Booking
+ 1 Hotel associate 0..* RoomType
+ 1 Hotel associate 0..* RoomAvailability
+ 1 Hotel associate 0..* Offer
+ 1 Hotel associate 0..* SpecialOffer
+ 1 Hotel associate 0..* RegularOffer
+ 1 Hotel associate 0..* Booking
+ 1 HotelChain associate 0..* Hotel
+ 1 Traveller associate 0..* BillingInformation
+ 1 Traveller associate 0..* TravelPreference
+ 1 Traveller associate 0..* Booking
+ 1 Traveller associate 0..* TripInfo
+ 1 Traveller associate 0..* SearchInfo
+ 1 Traveller associate 0..* BookingStatus
+ 1 Booking associate 0..* PaymentType


+ 1 HotelBookingManager contain 0..* Hotel
+ 1 Hotel contain 0..* RoomType
+ 1 Hotel contain 0..* RoomAvailability
+ 1 Hotel contain 0..* Offer
+ 1 Hotel contain 0..* SpecialOffer
+ 1 Hotel contain 0..* RegularOffer
+ 1 Hotel contain 0..* Booking
+ 1 Traveller contain 0..* BillingInformation
+ 1 Traveller contain 0..* TravelPreference
+ 1 Traveller contain 0..* Booking
+ 1 Traveller contain 0..* TripInfo
+ 1 Traveller contain 0..* SearchInfo
+ 1 Traveller contain 0..* BookingStatus
+ 1 Booking contain 0..* PaymentType


No inheritance relationships.
result_presicion = 0.18518518518518517
result_recall = 0.3333333333333333
result_F1 = 0.23809523809523808
---------------------2/10------Hotel Booking Management System (HBMS):
AI_answer_after_cut:
+ 1 HBMS associate 1..* Hotel
+ 1 HBMS associate 1 HotelBookingManager
+ 1 Hotel associate 0..* RoomType
+ 1 Hotel associate 1 HotelChain
+ 1 Hotel associate 0..* RoomAvailability
+ 1 Hotel associate 0..* Offer
+ 1 Hotel associate 0..* Booking
+ 1 Hotel associate 0..* SpecialOffer
+ 1 Hotel associate 0..* RegularOffer
+ 1 Hotel associate 0..* BookingInfo
+ 1 Hotel associate 0..* RoomType
+ 1 Hotel associate 0..* RoomAvailability
+ 1 Hotel associate 0..* BookingStatus
+ 1 Hotel associate 0..* PaymentType
+ 1 Hotel associate 0..* Traveller
+ 1 Hotel associate 0..* BillingInformation
+ 1 Hotel associate 0..* TravelPreference
+ 1 Hotel associate 0..* SearchInfo
+ 1 Hotel associate 0..* TripInfo


+ 1 Hotel contain 0..* RoomType
+ 1 Hotel contain 0..* RoomAvailability
+ 1 Hotel contain 0..* Offer
+ 1 Hotel contain 0..* Booking
+ 1 Hotel contain 0..* SpecialOffer
+ 1 Hotel contain 0..* RegularOffer
+ 1 Hotel contain 0..* BookingInfo
+ 1 Hotel contain 0..* RoomType
+ 1 Hotel contain 0..* RoomAvailability
+ 1 Hotel contain 0..* BookingStatus
+ 1 Hotel contain 0..* PaymentType
+ 1 Hotel contain 0..* Traveller
+ 1 Hotel contain 0..* BillingInformation
+ 1 Hotel contain 0..* TravelPreference
+ 1 Hotel contain 0..* SearchInfo
+ 1 Hotel contain 0..* TripInfo


No inheritance relationships.
result_presicion = 0.06451612903225806
result_recall = 0.13333333333333333
result_F1 = 0.08695652173913043
---------------------3/10------Hotel Booking Management System (HBMS):
AI_answer_after_cut:
+ 1 HotelBookingManager associate 0..* Hotel
+ 1 HotelBookingManager associate 0..* Traveller
+ 1 HotelBookingManager associate 0..* Booking
+ 1 HotelBookingManager associate 0..* RoomAvailability
+ 1 HotelBookingManager associate 0..* HotelChain
+ 1 HotelBookingManager associate 0..* SearchInfo
+ 1 HotelBookingManager associate 0..* Offer
+ 1 HotelBookingManager associate 0..* RoomType
+ 1 HotelBookingManager associate 0..* TravelPreference
+ 1 HotelBookingManager associate 0..* TripInfo
+ 1 HotelBookingManager associate 0..* BookingInfo
+ 1 HotelBookingManager associate 0..* PaymentType
+ 1 HotelBookingManager associate 0..* BillingInformation
+ 1 HotelBookingManager associate 0..* BookingStatus


+ 1 Hotel contain 0..* RoomAvailability
+ 1 Hotel contain 0..* Offer
+ 1 Hotel contain 0..* SpecialOffer
+ 1 Hotel contain 0..* RegularOffer
+ 1 Traveller contain 0..* BillingInformation
+ 1 Traveller contain 0..* TravelPreference
+ 1 Traveller contain 0..* Booking
+ 1 Traveller contain 0..* TripInfo
+ 1 Traveller contain 0..* BookingStatus
+ 1 HotelChain contain 0..* Hotel
+ 1 RoomAvailability contain 0..* RoomType
+ 1 Booking contain 0..* BookingInfo
+ 1 Booking contain 0..* PaymentType


No inheritance relationships were identified.
result_presicion = 0.2608695652173913
result_recall = 0.4
result_F1 = 0.31578947368421056
---------------------4/10------Hotel Booking Management System (HBMS):
AI_answer_after_cut:
+ 1 Hotel associate 0..* RoomType
+ 1 Hotel associate 0..* RoomAvailability
+ 1 Hotel associate 0..* SpecialOffer
+ 1 Hotel associate 0..* RegularOffer
+ 1 Hotel associate 0..* Booking
+ 1 Hotel associate 0..* HotelChain
+ 1 HBMS associate 1 HotelBookingManager
+ 1 HBMS associate 0..* Traveller
+ 1 HBMS associate 1 TravelSearch
+ 1 HBMS associate 0..* Offer
+ 1 HotelChain associate 0..* Hotel
+ 1 Traveller associate 0..* BillingInformation
+ 1 Traveller associate 0..* TravelPreference
+ 1 Booking associate 1 BookingStatus
+ 1 Booking associate 1 PaymentType
+ 1 Booking associate 1 BookingInfo


+ 1 HBMS contain 0..* Hotel
+ 1 Hotel contain 0..* RoomType
+ 1 Hotel contain 0..* RoomAvailability
+ 1 Hotel contain 0..* SpecialOffer
+ 1 Hotel contain 0..* RegularOffer
+ 1 Hotel contain 0..* Booking
+ 1 Hotel contain 0..* HotelChain
+ 1 Traveller contain 0..* BillingInformation
+ 1 Traveller contain 0..* TravelPreference
+ 1 Booking contain 1 BookingInfo


+ Offer extends TripInfo
result_presicion = 0.16
result_recall = 0.26666666666666666
result_F1 = 0.2
---------------------5/10------Hotel Booking Management System (HBMS):
AI_answer_after_cut:
+ 1 Hotel associate 0..* RoomType
+ 1 Hotel associate 0..* Offer
+ 1 Hotel associate 0..* RoomAvailability
+ 1 Hotel associate 0..* Booking
+ 1 HBMS associate 0..* Hotel
+ 1 HBMS associate 0..* Traveller
+ 1 HBMS associate 0..* HotelBookingManager
+ 1 Traveller associate 0..* TravelPreference
+ 1 Traveller associate 0..* BillingInformation
+ 1 Traveller associate 0..* BookingInfo
+ 1 Traveller associate 0..* PaymentType
+ 1 Traveller associate 0..* BookingStatus
+ 1 Traveller associate 0..* RoomType
+ 1 Traveller associate 0..* Offer
+ 1 Traveller associate 0..* SpecialOffer
+ 1 Traveller associate 0..* RegularOffer
+ 1 Traveller associate 0..* RoomAvailability
+ 1 Traveller associate 0..* TravelSearch
+ 1 HotelChain associate 0..* Hotel
+ 1 HotelChain associate 0..* HotelBookingManager


+ 1 Hotel contain 0..* RoomType
+ 1 Hotel contain 0..* RoomAvailability
+ 1 HBMS contain 0..* Hotel
+ 1 HBMS contain 0..* Traveller
+ 1 Traveller contain 0..* BillingInformation
+ 1 Traveller contain 0..* TravelPreference
+ 1 Traveller contain 0..* BookingInfo
+ 1 Traveller contain 0..* PaymentType
+ 1 Traveller contain 0..* BookingStatus
+ 1 Traveller contain 0..* RoomType
+ 1 Traveller contain 0..* Offer
+ 1 Traveller contain 0..* SpecialOffer
+ 1 Traveller contain 0..* RegularOffer
+ 1 Traveller contain 0..* RoomAvailability
+ 1 Traveller contain 0..* TravelSearch
+ 1 HotelChain contain 0..* Hotel
+ 1 HotelChain contain 0..* HotelBookingManager


No inheritance relationships.
result_presicion = 0.17647058823529413
result_recall = 0.4
result_F1 = 0.2448979591836735
---------------------6/10------Hotel Booking Management System (HBMS):
AI_answer_after_cut:
+ 1 HotelBookingManager associate 0..* Traveller
+ 1 HotelBookingManager associate 0..* Hotel
+ 1 HotelBookingManager associate 0..* Offer
+ 1 HotelBookingManager associate 0..* RoomAvailability
+ 1 HotelBookingManager associate 0..* Booking
+ 1 HotelBookingManager associate 0..* HotelChain
+ 1 HotelBookingManager associate 0..* SearchInfo
+ 1 HotelBookingManager associate 0..* TripInfo
+ 1 HotelBookingManager associate 0..* BillingInformation
+ 1 HotelBookingManager associate 0..* TravelPreference
+ 1 HotelBookingManager associate 0..* RoomType
+ 1 HotelBookingManager associate 0..* BookingStatus
+ 1 HotelBookingManager associate 0..* PaymentType


+ 1 Hotel contain 0..* RoomAvailability
+ 1 Hotel contain 0..* Offer
+ 1 Hotel contain 0..* Booking
+ 1 HotelChain contain 0..* Hotel
+ 1 Traveller contain 0..* BillingInformation
+ 1 Traveller contain 0..* TravelPreference
+ 1 Offer contain 0..* SpecialOffer
+ 1 Offer contain 0..* RegularOffer
+ 1 Booking contain 0..* BookingInfo


+ Offer extends SpecialOffer
+ Offer extends RegularOffer
+ TripInfo extends SearchInfo
result_presicion = 0.35294117647058826
result_recall = 0.4
result_F1 = 0.37500000000000006
---------------------7/10------Hotel Booking Management System (HBMS):
AI_answer_after_cut:
+ 1 Hotel associate * RoomType
+ 1 Hotel associate * RoomAvailability
+ 1 Hotel associate * SpecialOffer
+ 1 Hotel associate * RegularOffer
+ 1 Hotel associate * Booking
+ 1 Hotel associate * RoomAvailability
+ 1 Hotel associate * HotelChain
+ 1 Hotel associate * BookingInfo
+ 1 Hotel associate * BookingStatus
+ 1 Hotel associate * PaymentType
+ 1 Hotel associate * Traveller
+ 1 Hotel associate * BillingInformation
+ 1 Hotel associate * TravelPreference
+ 1 Hotel associate * Offer
+ 1 Hotel associate * TripInfo
+ 1 Hotel associate * SearchInfo
+ 1 Hotel associate * HotelBookingManager
+ 1 Hotel associate * TravelSearch


+ 1 Hotel contain * RoomType
+ 1 Hotel contain * RoomAvailability
+ 1 Hotel contain * SpecialOffer
+ 1 Hotel contain * RegularOffer
+ 1 Hotel contain * Booking
+ 1 Hotel contain * RoomAvailability
+ 1 Hotel contain * HotelChain
+ 1 Hotel contain * BookingInfo
+ 1 Hotel contain * BookingStatus
+ 1 Hotel contain * PaymentType
+ 1 Hotel contain * Traveller
+ 1 Hotel contain * BillingInformation
+ 1 Hotel contain * TravelPreference
+ 1 Hotel contain * Offer
+ 1 Hotel contain * TripInfo
+ 1 Hotel contain * SearchInfo
+ 1 Hotel contain * HotelBookingManager
+ 1 Hotel contain * TravelSearch


+ SpecialOffer extends Offer
+ RegularOffer extends Offer
+ Booking extends Offer
+ BookingInfo extends TripInfo
result_presicion = 0.0625
result_recall = 0.13333333333333333
result_F1 = 0.0851063829787234
---------------------8/10------Hotel Booking Management System (HBMS):
AI_answer_after_cut:
+ 1 HotelBookingManager associate 0..* Traveller
+ 1 HotelBookingManager associate 0..* Hotel
+ 1 Hotel associate 0..* RoomType
+ 1 Hotel associate 0..* RoomAvailability
+ 1 Hotel associate 0..* SpecialOffer
+ 1 Hotel associate 0..* RegularOffer
+ 1 Hotel associate 0..* Booking
+ 1 Traveller associate 0..* Booking
+ 1 Traveller associate 0..* BillingInformation
+ 1 Traveller associate 0..* TravelPreference
+ 1 Booking associate 1 BookingStatus
+ 1 Booking associate 1 PaymentType
+ 1 Booking associate 1 TripInfo
+ 1 Booking associate 1 Offer
+ 1 Booking associate 0..* SpecialOffer
+ 1 Booking associate 0..* RegularOffer
+ 1 Booking associate 1 Hotel
+ 1 Booking associate 1 Traveller
+ 1 Booking associate 1 RoomType


+ 1 Hotel contain 0..* RoomType
+ 1 Hotel contain 0..* RoomAvailability
+ 1 Hotel contain 0..* SpecialOffer
+ 1 Hotel contain 0..* RegularOffer
+ 1 Hotel contain 0..* Booking
+ 1 Traveller contain 0..* BillingInformation
+ 1 Traveller contain 0..* TravelPreference
+ 1 Booking contain 1 BookingStatus
+ 1 Booking contain 1 PaymentType
+ 1 Booking contain 1 TripInfo
+ 1 Booking contain 1 Offer
+ 1 Booking contain 0..* SpecialOffer
+ 1 Booking contain 0..* RegularOffer
+ 1 Booking contain 1 Hotel
+ 1 Booking contain 1 Traveller
+ 1 Booking contain 1 RoomType


+ Offer extends TripInfo
result_presicion = 0.12903225806451613
result_recall = 0.26666666666666666
result_F1 = 0.17391304347826086
---------------------9/10------Hotel Booking Management System (HBMS):
AI_answer_after_cut:
+ 1 Traveller associate 1..* Booking
+ 1 Traveller associate 0..1 BillingInformation
+ 1 Traveller associate 0..* TravelPreference
+ 1 Hotel associate 0..* RoomType
+ 1 Hotel associate 1..* Offer
+ 1 Hotel associate 1..* RoomAvailability
+ 1 Hotel associate 0..1 HotelChain
+ 1 HBMS associate 1 HotelBookingManager
+ 1 HBMS associate 1 TravelSearch
+ 1 HBMS associate 1 RoomAvailability
+ 1 HBMS associate 1 Booking
+ 1 Booking associate 1 RoomType
+ 1 Booking associate 1 BookingStatus
+ 1 Booking associate 1 PaymentType
+ 1 Booking associate 1..* Offer
