---------------------1/10------CeIO:
AI_answer_after_cut:
+ 1 Organizer associate 1..* Event
+ 1 Event associate 0..* Attendee
+ 1 Event associate 1 Location
+ 1 Event associate 1 EventType
+ 1 Organizer associate 0..* Attendee
+ 1 Organizer associate 1 Registration
+ 1 Event associate 1 CheckList
+ 1 CheckList associate 1..* TaskStatus
+ 1 CheckList associate 0..* Task
+ 1 Attendee associate 1 AttendeeStatus


+ 1 Organizer contain 1 Registration
+ 1 Organizer contain 1..* Event
+ 1 Event contain 1 Location
+ 1 Event contain 1 EventType
+ 1 Event contain 1 CheckList
+ 1 CheckList contain 1..* Task
+ 1 Attendee contain 1 AttendeeStatus


+ Organizer extends PersonRole
+ Attendee extends Person
result_presicion = 0.1875
result_recall = 0.15789473684210525
result_F1 = 0.17142857142857143
---------------------2/10------CeIO:
AI_answer_after_cut:
+ 1 Organizer associate 1..* Attendee
+ 1 Organizer associate 1 Event
+ 1 Organizer associate 1 Location
+ 1 Organizer associate 1 CheckList
+ 1 Organizer associate 1 EventType
+ 1 Event associate 1..* Attendee
+ 1 Event associate 1 CheckList
+ 1 Event associate 1 Location
+ 1 Event associate 1 EventType
+ 1 Attendee associate 1 Event
+ 1 Attendee associate 1 Registration
+ 1 CheckList associate 1..* TaskStatus
+ 1 CheckList associate 1..* Task
+ 1 Location associate 1 Event


+ 1 Organizer contain 1..* Event
+ 1 Event contain 1..* Registration
+ 1 Event contain 1..* Task
+ 1 CheckList contain 1..* Task
+ 1 Location contain 1..* Event


+ Organizer extends PersonRole
+ Attendee extends PersonRole
+ PersonRole extends Person
result_presicion = 0.25
result_recall = 0.21052631578947367
result_F1 = 0.22857142857142856
---------------------3/10------CeIO:
AI_answer_after_cut:
+ 1 Organizer associate 1..* Attendee
+ 1 Organizer associate 1 Event
+ 1 Organizer associate 1 Location
+ 1 Organizer associate 1 CheckList
+ 1 Organizer associate 1 EventType
+ 1 Organizer associate 1 Registration
+ 1 Event associate 1..* Attendee
+ 1 Event associate 1 CheckList
+ 1 Event associate 1 Location
+ 1 Event associate 1 EventType
