---------------------1/10------TSS:
AI_answer_after_cut:
+ 1..* Scout associate 0..* ScoutingAssignment
+ 1 HeadCoach associate 1..* PlayerProfile
+ 1 HeadScout associate 1..* ScoutingAssignment
+ 1 Director associate 1 Offer
+ 1 Player associate 1..* PlayerAttribute
+ 1 PlayerProfile associate 1..* PlayerAttribute
+ 1 ScoutingAssignment associate 1 ScoutReport




+ HeadCoach extends Person
+ Director extends Person
+ Scout extends Person
result_presicion = 0.75
result_recall = 0.14285714285714285
result_F1 = 0.24
---------------------2/10------TSS:
AI_answer_after_cut:
+ 1 HeadCoach associate * PlayerProfile
+ 1 HeadCoach associate * ScoutingAssignment
+ 1 Director associate * Offer
+ * Scout associate * PlayerProfile
+ * Scout associate * ScoutingAssignment
+ * Scout associate * ScoutReport
+ * PlayerProfile associate * PlayerAttribute


+ 1 HeadCoach contain * PlayerProfile
+ 1 HeadCoach contain * ScoutingAssignment
+ 1 Director contain * Offer
+ * Scout contain * PlayerProfile
+ * Scout contain * ScoutingAssignment
+ * Scout contain * ScoutReport
+ * PlayerProfile contain * PlayerAttribute


+ HeadCoach extends Person
+ Director extends Person
+ Scout extends Person
+ Player extends Person
+ Club extends TSS
result_presicion = 0.2727272727272727
result_recall = 0.14285714285714285
result_F1 = 0.18749999999999997
---------------------3/10------TSS:
AI_answer_after_cut:
+ 1 HeadCoach associate 0..* PlayerProfile
+ 1 HeadCoach associate 0..* PlayerAttribute
+ 1 HeadCoach associate 0..* ScoutingAssignment
+ 1 Director associate 1..* Offer
+ 1 Scout associate 0..* ScoutingAssignment
+ 1 Scout associate 1 ScoutReport
+ 1 Player associate 0..* PlayerAttribute


+ 1 ScoutingAssignment contain 0..* Scout
+ 1 ScoutingAssignment contain 1 Player
+ 1 ScoutReport contain 1 Recommendation


+ HeadCoach extends Person
+ Director extends Person
+ Scout extends Person
+ Player extends Person
result_presicion = 0.3333333333333333
result_recall = 0.09523809523809523
result_F1 = 0.14814814814814814
---------------------4/10------TSS:
AI_answer_after_cut:
+ 1 HeadCoach associate 1..* PlayerProfile
+ 1 HeadCoach associate 1..* PlayerAttribute
+ 1 Scout associate 1..* Player
+ 1 HeadScout associate 1..* Player
+ 1 HeadScout associate 1..* ScoutingAssignment
+ 1 Director associate 1 Offer
+ 1 Director associate 1..* Player
+ 1 Director associate 1..* ScoutReport
+ 1 Player associate 1..* PlayerAttribute


+ 1 HeadScout contain 1..* ScoutingAssignment
+ 1 PlayerProfile contain 1..* Position
+ 1 ScoutReport contain 1 Recommendation


+ HeadCoach extends Person
+ Director extends Person
+ Scout extends Person
+ Player extends Person
result_presicion = 0.2222222222222222
result_recall = 0.09523809523809523
result_F1 = 0.13333333333333333
---------------------5/10------TSS:
AI_answer_after_cut:
+ 1 HeadCoach associate 0..* PlayerProfile
+ 1 HeadCoach associate 1 ScoutingAssignment
+ 1 Director associate 1 Offer
+ 0..* Scout associate 1..* PlayerProfile
+ 1 Scout associate 1 ScoutingAssignment
+ 1 Scout associate 1 ScoutReport
+ 1 PlayerProfile associate 1 Player
+ 1 PlayerProfile associate 0..* PlayerAttribute


+ 1 ScoutingAssignment contain 0..* Scout
+ 1 ScoutingAssignment contain 1 PlayerProfile
+ 1 ScoutReport contain 1 Recommendation


+ HeadCoach extends Person
+ Director extends Person
+ Scout extends Person
+ Player extends Person
result_presicion = 0.5714285714285714
result_recall = 0.19047619047619047
result_F1 = 0.2857142857142857
---------------------6/10------TSS:
AI_answer_after_cut:
+ 1 HeadCoach associate 0..* PlayerProfile
+ 1 HeadCoach associate 0..* PlayerAttribute
+ 1 HeadCoach associate 1..* Player
+ 1 Director associate 1..* Offer
+ 1 Scout associate 0..* Player
+ 1 Scout associate 1 ScoutingAssignment
+ 1 Scout associate 1 ScoutReport
+ 1 Scout associate 1 ScoutingStatus
+ 1 HeadScout associate 1..* Player
+ 1 HeadScout associate 1..* ScoutingAssignment
+ 1 HeadScout associate 0..* PlayerProfile
+ 1 Player associate 1..* PlayerAttribute
+ 1 Player associate 1..* Position
+ 1 Player associate 1 Recommendation


+ 1 HeadCoach contain 0..* PlayerProfile
+ 1 HeadCoach contain 0..* PlayerAttribute
+ 1 Scout contain 1 ScoutKind
+ 1 HeadScout contain 0..* Player
+ 1 HeadScout contain 0..* ScoutingAssignment
+ 1 Player contain 0..* PlayerAttribute
+ 1 Player contain 0..* Position


+ HeadCoach extends Person
+ Director extends Person
