name,presicion,recall,F1
TSS,0.29123376623376623,0.11904761904761903,0.16019381226564272
CeIO,0.23271740686214373,0.20526315789473687,0.21564312451526452
BTMS,0.5658874458874459,0.5,0.5228132832080201
H2S,0.3363453213453214,0.13333333333333336,0.18452019109841813
Lab Requisition Management System,0.08641564565702495,0.07727272727272727,0.07953759171489808
Hotel Booking Management System (HBMS),0.17916672578975304,0.26,0.2042416086724263
SHAS,0.5677813852813853,0.22962962962962963,0.3251310874417421
OTS,0.2614948712278434,0.20999999999999996,0.23180510354489056
DBA,0.3179350819090462,0.35789473684210527,0.33497406306463834
TiOA,0.22495603608559006,0.29,0.23954320081691943
