system,10 times,Ave_Test_Class_precision,Ave_class_recall,Ave_class_f1,Ave_attribute_precision,Ave_attribute_recall,Ave_attribute_f1
BTMS ,test average,0.52,0.428571,0.469231,0.382004,0.6,0.465206
Team Sports Scouting (TSS) ,test average,0.643283,0.43125,0.515004,0.140612,0.133333,0.135515
Smart home automation system (SHAS) ,test average,0.748112,0.343478,0.469786,0.140699,0.161538,0.150173
Tile-O ,test average,0.515079,0.236842,0.323962,0.091961,0.16875,0.118634
Block 223 ,test average,0.630952,0.338462,0.435177,0.188693,0.153333,0.167649
Online Tutoring System (OTS) ,test average,0.794618,0.423529,0.547986,0.181264,0.180769,0.17834
Hotel Booking Management System (HBMS) ,test average,0.74236,0.310526,0.430408,0.270931,0.227273,0.245395
H2S ,test average,0.207515,0.2,0.202913,0.04934,0.1,0.065821
Celebrations Organization System (CelO) ,test average,0.721429,0.446154,0.549385,0.110481,0.173913,0.13341
Lab Requisition Management System ,test average,0.881389,0.45625,0.600538,0.362017,0.318605,0.338698
