system_name,cycle,Ave_Test_Class_precision,Ave_class_recall,Ave_class_f1,Ave_attribute_precision,Ave_attribute_recall,Ave_attribute_f1
BTMS,final_average_score,0.49369,0.428571,0.457216,0.389593,0.627273,0.479384
Team Sports Scouting (TSS),final_average_score,0.558994,0.38125,0.449869,0.121792,0.116667,0.118879
Smart home automation system (SHAS),final_average_score,0.704416,0.343478,0.459553,0.146904,0.165385,0.15525
Tile-O,final_average_score,0.536111,0.236842,0.328307,0.085974,0.15625,0.110802
Block 223,final_average_score,0.692857,0.384615,0.48867,0.237209,0.196667,0.213984
Online Tutoring System (OTS),final_average_score,0.756086,0.347059,0.469126,0.152155,0.134615,0.141521
Hotel Booking Management System (HBMS),final_average_score,0.678838,0.305263,0.416504,0.293844,0.275758,0.281932
H2S,final_average_score,0.241694,0.215385,0.226165,0.052981,0.088235,0.065436
Celebrations Organization System (CelO),final_average_score,0.69623,0.423077,0.52414,0.119808,0.169565,0.138605
Lab Requisition Management System,final_average_score,0.923056,0.5375,0.67377,0.344112,0.327907,0.334324
