system_name,cycle,Class_precision,class_recall,class_f1,attribute_precision,attribute_recall,attribute_f1
BTMS,test average,0.554127,0.471429,0.505623,0.408,0.609091,0.482862
Team Sports Scouting (TSS),test average,0.576142,0.4375,0.49611,0.113439,0.116667,0.114286
Smart home automation system (SHAS),test average,0.700606,0.334783,0.450615,0.144285,0.165385,0.153655
Tile-O,test average,0.524661,0.247368,0.333434,0.134836,0.2625,0.177467
Block 223,test average,0.571353,0.392308,0.454459,0.165734,0.15,0.155686
Online Tutoring System (OTS),test average,0.824762,0.358824,0.495839,0.146831,0.126923,0.133156
Hotel Booking Management System (HBMS),test average,0.706818,0.305263,0.416205,0.246376,0.230303,0.232508
H2S,test average,0.231535,0.207692,0.218098,0.06218,0.117647,0.08013
Celebrations Organization System (CelO),test average,0.712857,0.415385,0.522332,0.11915,0.173913,0.140331
Lab Requisition Management System,test average,0.913442,0.51875,0.658299,0.374634,0.360465,0.365675
