system,10 times,Ave_Test_Class_precision,"	Ave_class_recall","	Ave_class_f1","	Ave_attribute_precision","	Ave_attribute_recall","	Ave_attribute_f1"
BTMS ,test average,0.532857,0.414286,0.463836,0.409968,0.6,0.481636
Team Sports Scouting (TSS) ,test average,0.636447,0.4125,0.497581,0.116056,0.108333,0.110297
Smart home automation system (SHAS) ,test average,0.684056,0.334783,0.44861,0.162749,0.180769,0.170204
Tile-O ,test average,0.562579,0.252632,0.348054,0.137626,0.25,0.177216
Block 223 ,test average,0.589307,0.376923,0.453349,0.191143,0.163333,0.174172
Online Tutoring System (OTS) ,test average,0.773838,0.388235,0.512646,0.132445,0.134615,0.130476
Hotel Booking Management System (HBMS) ,test average,0.736548,0.315789,0.438567,0.312197,0.290909,0.300034
H2S ,test average,0.278104,0.253846,0.263531,0.067118,0.129412,0.087421
Celebrations Organization System (CelO) ,test average,0.72123,0.438462,0.544372,0.112082,0.169565,0.133984
Lab Requisition Management System ,test average,0.942778,0.53125,0.677536,0.330184,0.313953,0.320956
ave,test average,0.6457744,0.3718706,0.4648082,0.1971568,0.2340889,0.2086396
