system,10 times,Ave_Test_Class_precision,	Ave_class_recall,	Ave_class_f1,	Ave_attribute_precision,	Ave_attribute_recall,	Ave_attribute_f1,
BTMS ,test average,0.513333,0.385714,0.439744,0.420757,0.581818,0.486414
Team Sports Scouting (TSS) ,test average,0.579145,0.381250,0.456743,0.151451,0.141667,0.144123
Smart home automation system (SHAS) ,test average,0.653415,0.326087,0.434487,0.143696,0.161538,0.150502
Tile-O ,test average,0.572421,0.263158,0.356699,0.126549,0.212500,0.157248
Block 223 ,test average,0.570007,0.446154,0.493877,0.161749,0.160000,0.159151
Online Tutoring System (OTS) ,test average,0.745343,0.358824,0.480629,0.173468,0.153846,0.161253
Hotel Booking Management System (HBMS) ,test average,0.674028,0.352632,0.455965,0.253261,0.269697,0.257044
H2S ,test average,0.244017,0.200000,0.218873,0.030221,0.064706,0.041017
Celebrations Organization System (CelO) ,test average,0.711310,0.415385,0.523593,0.123243,0.173913,0.143631
Lab Requisition Management System ,test average,0.879979,0.537500,0.661559,0.314068,0.306977,0.309592
