---------------------1/10------DBA:
AI_answer_after_cut:
+ 1 User associate 1..* PlayedGame
+ 1 Admin associate 1 Game
+ 1 Game associate 1..* Level
+ 1 Game associate 1 HallOfFameEntry
+ 1 Game associate 1 BlockAssignment
+ 1 Level associate 1..* BlockAssignment
+ 1 Level associate 1 PlayedGame
+ 1 PlayedGame associate 1..* PlayedBlockAssignment
+ 1 PlayedGame associate 1 PlayedBall
+ 1 PlayedGame associate 1 PlayedPaddle
+ 1 PlayedGame associate 1 Player


+ 1 Game contain 1 HallOfFameEntry
+ 1 Game contain 1 BlockAssignment
+ 1 Level contain 1..* BlockAssignment
presicion = 0.42857142857142855
recall = 0.3157894736842105
F1 = 0.36363636363636365
---------------------2/10------DBA:
AI_answer_after_cut:
+ 1 User associate 1..* PlayedGame
+ 1 Admin associate 1 Game
+ 1 Game associate 1..* Level
+ 1 Game associate 1 HallOfFameEntry
+ 1 Game associate 1 BlockAssignment
+ 1 Level associate 1..* BlockAssignment
+ 1 Level associate 1 PlayedGame
+ 1 PlayedGame associate 1 PlayedBall
+ 1 PlayedGame associate 1 PlayedPaddle
+ 1 PlayedGame associate 1..* PlayedBlockAssignment
+ 1 Player associate 1..* PlayedGame
presicion = 0.5454545454545454
recall = 0.3157894736842105
F1 = 0.39999999999999997
---------------------3/10------DBA:
AI_answer_after_cut:
+ 1 User associate 1..* PlayedGame
+ 1 Admin associate 1 Game
+ 1 Game associate 1..* Level
+ 1 Game associate 1 HallOfFameEntry
+ 1 Game associate 1 BlockAssignment
+ 1 Level associate 1..* BlockAssignment
+ 1 Level associate 1 PlayedGame
+ 1 PlayedGame associate 1..* PlayedBlockAssignment
+ 1 PlayedGame associate 1 PlayedBall
+ 1 PlayedGame associate 1 PlayedPaddle
+ 1 PlayedGame associate 1 Player
presicion = 0.5454545454545454
recall = 0.3157894736842105
F1 = 0.39999999999999997
---------------------4/10------DBA:
AI_answer_after_cut:
+ 1 User associate 1..* PlayedGame
+ Admin associate 1 Game
+ Game associate 1..* Level
+ Level associate 1..* BlockAssignment
+ Level associate 1 PlayedGame
+ Game associate 1 HallOfFameEntry
+ PlayedGame associate 1..* PlayedBall
+ PlayedGame associate 1 PlayedPaddle
+ PlayedGame associate 1..* PlayedBlockAssignment
+ Player associate 1..* PlayedGame
presicion = 0.6
recall = 0.3157894736842105
F1 = 0.41379310344827586
---------------------5/10------DBA:
AI_answer_after_cut:
+ 1 User associate 0..1 Player
+ 1 User associate 0..1 Admin
+ 1 Admin associate 1 Game
+ 1 Game associate 1..* Level
+ 1 Game associate 1 HallOfFame
+ 1 Game associate 1 BlockAssignment
+ 1 BlockAssignment associate 1 Block
+ 1 Level associate 1..* BlockAssignment
+ 1 Level associate 0..1 Paddle
+ 1 Level associate 1 Ball
+ 1 Game associate 1 Paddle
+ 1 Game associate 1 Ball
+ 1 Game associate 1 PlayedGame
+ 1 PlayedGame associate 1..* PlayedBlockAssignment
+ 1 PlayedGame associate 1 PlayedPaddle
+ 1 PlayedGame associate 1 PlayedBall
+ 1 PlayedGame associate 1 Player
+ 1 Player associate 1 HallOfFameEntry


+ 1 Game contain 1 HallOfFame
+ 1 Game contain 1 BlockAssignment
+ 1 Level contain 1..* BlockAssignment
+ 1 Level contain 0..1 Paddle
+ 1 Level contain 1 Ball
+ 1 PlayedGame contain 1..* PlayedBlockAssignment
+ 1 PlayedGame contain 1 PlayedPaddle
+ 1 PlayedGame contain 1 PlayedBall
presicion = 0.375
recall = 0.47368421052631576
F1 = 0.4186046511627907
---------------------6/10------DBA:
AI_answer_after_cut:
+ 1 User associate 0..1 Admin
+ 1 Admin associate 1 Game
+ 1 Game associate 1..* Level
+ 1 Game associate 1..* Block
+ 1 Level associate 1..* BlockAssignment
+ 1 Game associate 1 Paddle
+ 1 Game associate 1 Ball
+ 1 Game associate 1 HallOfFameEntry
+ 1 User associate 1..* PlayedGame
+ 1 PlayedGame associate 1 PlayedBall
+ 1 PlayedGame associate 1 PlayedPaddle
+ 1 PlayedGame associate 1..* PlayedBlockAssignment
+ 1 User associate 1 Player


+ 1 Game contain 1 HallOfFameEntry
+ 1 PlayedGame contain 1 PlayedBall
+ 1 PlayedGame contain 1 PlayedPaddle
+ 1 PlayedGame contain 1..* PlayedBlockAssignment
presicion = 0.5294117647058824
recall = 0.47368421052631576
F1 = 0.5
---------------------7/10------DBA:
AI_answer_after_cut:
+ 1 User associate 1..* PlayedGame
+ 1 Admin associate 1 Game
+ 1 Game associate 1..* Level
+ 1 Game associate 1 HallOfFameEntry
+ 1 Game associate 1 BlockAssignment
+ 1 Level associate 1..* BlockAssignment
+ 1 Level associate 1 PlayedGame
+ 1 PlayedGame associate 1..* PlayedBlockAssignment
+ 1 PlayedGame associate 1 PlayedBall
+ 1 PlayedGame associate 1 PlayedPaddle
+ 1 PlayedGame associate 1 Player
presicion = 0.5454545454545454
recall = 0.3157894736842105
F1 = 0.39999999999999997
---------------------8/10------DBA:
AI_answer_after_cut:
+ 1 User associate 0..1 Player
+ 1 User associate 0..1 Admin
+ Admin associate 1 Game
+ Game associate 1..* Block
+ Game associate 1..* Level
+ Level associate 1..* BlockAssignment
+ Level associate 1 BlockAssignment
+ Player associate 1..* PlayedGame
+ PlayedGame associate 1 PlayedBall
+ PlayedGame associate 1 PlayedPaddle
+ PlayedGame associate 1..* PlayedBlockAssignment


+ Game contain 1 HallOfFameEntry
+ Game contain 1 Paddle
+ Game contain 1 Ball
+ Level contain 1..* BlockAssignment
+ PlayedGame contain 1 PlayedBall
+ PlayedGame contain 1 PlayedPaddle
+ PlayedGame contain 1..* PlayedBlockAssignment
presicion = 0.4444444444444444
recall = 0.42105263157894735
F1 = 0.43243243243243246
---------------------9/10------DBA:
AI_answer_after_cut:
+ 1 User associate 1..* PlayedGame
+ 1 Admin associate 1 Game
