---------------------1/10------CeIO:
AI_answer_after_cut:
+ 1..* Organizer associate 0..* Event
+ 1..* Organizer associate 0..* Attendee
+ 0..* Organizer associate 1..* Event
+ 0..* Organizer associate 1..* Location
+ 1..* Organizer associate 0..* TaskStatus
+ 0..* Attendee associate 0..* Event
+ 0..* Attendee associate 0..* TaskStatus
+ 0..* Attendee associate 0..* AttendeeStatus
+ 0..* Event associate 0..* TaskStatus
+ 0..* Event associate 0..* EventType
+ 0..* Event associate 0..* Location
+ 0..* Event associate 0..* CheckList
+ 0..* CheckList associate 0..* TaskStatus
+ 0..* Location associate 0..* Event


+ 1 Organizer contain 1..* Event
+ 1 Organizer contain 1..* Attendee
+ 1 Organizer contain 1..* TaskStatus
+ 1 Event contain 1..* TaskStatus
+ 1 Event contain 1..* CheckList
+ 1 CheckList contain 1..* TaskStatus
presicion = 0.25
recall = 0.29411764705882354
F1 = 0.27027027027027023
---------------------2/10------CeIO:
AI_answer_after_cut:
+ 1..* Organizer associate 0..* Event
+ 1..* Organizer associate 0..* Attendee
+ 1..* Attendee associate 0..* Event
+ 1..* Event associate 0..* Location


+ 1 CelO contain 1..* Organizer
+ 1 CelO contain 1..* Event
+ 1 Event contain 1..* CheckList
+ 1 Event contain 1 Location
+ 1 CheckList contain 1..* TaskStatus
+ 1 Person contain 1 Registration
+ 1 Event contain 1 EventType
presicion = 0.2727272727272727
recall = 0.17647058823529413
F1 = 0.21428571428571427
---------------------3/10------CeIO:
AI_answer_after_cut:
+ 1 Organizer associate 1..* Event
+ 1 Event associate 0..* Attendee
+ 1 Event associate 1 Location
+ 1 Organizer associate 0..* Attendee
+ 1 Organizer associate 1 Registration
+ 1 Event associate 1 CheckList
+ 1 CheckList associate 0..* Task
+ 0..* Task associate 1 TaskStatus
+ 1 Organizer associate 0..* Person
+ 1 Person associate 1 PersonRole
+ 1 Event associate 1 EventType
+ 1 Registration associate 1..* AttendeeStatus
+ 0..* AttendeeStatus associate 1 CompletionStatus


+ 1 CelO contain 1..* Organizer
+ 1 CelO contain 1..* Event
+ 1 CelO contain 1..* Location
+ 1 Event contain 1 CheckList
+ 1 CheckList contain 0..* Task
+ 1 Person contain 1 PersonRole
+ 1 Registration contain 1..* AttendeeStatus
+ 1 AttendeeStatus contain 1 CompletionStatus
presicion = 0.3125
recall = 0.29411764705882354
F1 = 0.30303030303030304
---------------------4/10------CeIO:
AI_answer_after_cut:
+ 1 Organizer associate 1..* Event
+ 1 Event associate 0..* Attendee
+ 1 Event associate 1 Location
+ 1 Organizer associate 0..* Attendee
+ 1 Organizer associate 1..* Task
+ 1 Attendee associate 0..* Task
+ 1 Event associate 1 CheckList
+ 1 CheckList associate 1..* Task
+ 1 Task associate 0..* Person


+ 1 Organizer contain 1 Registration
+ 1 Event contain 1 CheckList
+ 1 Event contain 1 Location
+ 1 CheckList contain 1..* Task
+ 1 Task contain 0..* Person
presicion = 0.25
recall = 0.11764705882352941
F1 = 0.15999999999999998
---------------------5/10------CeIO:
AI_answer_after_cut:
+ 1 CelO associate 1..* Organizer
+ 1 Organizer associate 0..* Event
+ 1 Event associate 1 Location
+ 1 Organizer associate 0..* Attendee
+ 1 Attendee associate 0..* TaskStatus
+ 1 Event associate 1 CheckList
+ 1 CheckList associate 0..* TaskStatus
+ 1 Event associate 0..* Attendee
+ 1 Attendee associate 0..* TaskStatus


+ 1 Organizer contain 1 Registration
+ 1 Event contain 0..* Registration
+ 1 Event contain 1 EventType
+ 1 CheckList contain 0..* TaskStatus
+ 1 CheckList contain 0..* Task
presicion = 0.23076923076923078
recall = 0.17647058823529413
F1 = 0.20000000000000004
---------------------6/10------CeIO:
AI_answer_after_cut:
+ 1 CelO associate 1..* Organizer
+ 1 Organizer associate 1..* Event
+ 1 Organizer associate 0..* Attendee
+ 1 Event associate 0..* Attendee
+ 1 Event associate 1 Location
+ 1 Event associate 1 EventType
+ 1 Event associate 1 CheckList
+ 1 CheckList associate 1..* TaskStatus
+ 1 Organizer associate 1 Registration


+ 1 Event contain 1 Location
+ 1 Event contain 1 EventType
+ 1 Event contain 1 CheckList
+ 1 CheckList contain 1..* TaskStatus
presicion = 0.23076923076923078
recall = 0.17647058823529413
F1 = 0.20000000000000004
---------------------7/10------CeIO:
AI_answer_after_cut:
+ 1..* Organizer associate 0..* Event
+ 1..* Event associate 0..* Attendee
+ 1..* Event associate 1 Location
+ 1..* Event associate 1 EventType
+ 1..* Organizer associate 1..* Attendee
+ 1..* Attendee associate 1 Registration
+ 1..* Event associate 1 CheckList
+ 1..* CheckList associate 1..* TaskStatus


+ 1 Organizer contain 1..* Event
+ 1 Event contain 1..* Attendee
+ 1 Event contain 1 Location
+ 1 Event contain 1 EventType
+ 1 Organizer contain 1..* Attendee
+ 1 Attendee contain 1 Registration
+ 1 Event contain 1 CheckList
+ 1 CheckList contain 1..* TaskStatus
presicion = 0.25
recall = 0.23529411764705882
F1 = 0.24242424242424243
---------------------8/10------CeIO:
AI_answer_after_cut:
+ 1..* Organizer associate 1 Event
+ 0..* Organizer associate 0..* Attendee
+ 1 Event associate 0..* Attendee
+ 1 Event associate 1 Location
+ 1 Event associate 1 EventType
+ 1 Event associate 1 CheckList
+ 1 CheckList associate 1..* TaskStatus
+ 1 Organizer associate 1 Registration
+ 1..* Attendee associate 1 Registration
+ 1 Registration associate 1 AttendeeStatus
+ 1 Registration associate 1 CompletionStatus


+ 1 Organizer contain 1..* Event
presicion = 0.3333333333333333
recall = 0.23529411764705882
F1 = 0.27586206896551724
---------------------9/10------CeIO:
AI_answer_after_cut:
+ 1..* Organizer associate 0..* Event
+ 1..* Organizer associate 0..* Location
+ 1..* Organizer associate 0..* Attendee
+ 1..* Organizer associate 0..* TaskStatus
+ 0..* Attendee associate 0..* Event
+ 0..* Attendee associate 0..* TaskStatus
+ 0..* Event associate 0..* CheckList
+ 0..* Event associate 0..* Location
+ 0..* Event associate 0..* AttendeeStatus
+ 0..* Event associate 0..* EventType
+ 0..* CheckList associate 0..* TaskStatus
+ 0..* Location associate 0..* Event


+ 1 CelO contain 0..* Organizer
+ 0..* Event contain 0..* CheckList
+ 1 Event contain 1 Location
+ 1 Organizer contain 0..* Event
+ 0..* Organizer contain 0..* Attendee
+ 0..* Organizer contain 0..* TaskStatus
+ 0..* Attendee contain 0..* TaskStatus
presicion = 0.21052631578947367
recall = 0.23529411764705882
F1 = 0.2222222222222222
---------------------10/10------CeIO:
AI_answer_after_cut:
+ 1..* Organizer associate 1 Event
+ 1 Event associate 1 Location
+ 1 Event associate 0..* Attendee
+ 1 Event associate 1 CheckList
+ 1 Event associate 1 EventType
+ 0..* Attendee associate 1 Registration
+ 1 Registration associate 1 AttendeeStatus
+ 1 Registration associate 1 CompletionStatus
+ 1 CheckList associate 0..* TaskStatus
+ 1 CheckList associate 0..* Task


+ 1 CelO contain 1..* Organizer
+ 1 CelO contain 1..* Event
+ 1 CelO contain 1..* Location
+ 1 CelO contain 0..* Attendee
+ 1 Event contain 0..* Registration
+ 1 Event contain 1 CheckList
+ 1 CheckList contain 0..* Task
presicion = 0.4
recall = 0.35294117647058826
F1 = 0.37500000000000006
average_presicion = 0.27406253833885413
average_recall = 0.22941176470588237
average_F1 = 0.24630948211982692
