---------------------1/10------H2S:
AI_answer_after_cut:
+ 1..* Resident associate 1 PickupRequest
+ 1 PickupRequest associate 1..* ItemDescription
+ 1..* Volunteer associate 1..* Vehicle
+ 1 Vehicle associate 1 Route
+ 1..* ItemDescription associate 1 ItemCategory
+ 1..* Client associate 0..* ItemCategory


+ 1 PickupRequest contain 1..* ItemDescription
+ 1 Vehicle contain 1 Route
presicion = 0.25
recall = 0.07692307692307693
F1 = 0.11764705882352941
---------------------2/10------H2S:
AI_answer_after_cut:
+ 1..* Resident associate 1 PickupService
+ 1 PickupService associate 1..* Vehicle
+ 1..* Volunteer associate 0..* Vehicle
+ 0..* Volunteer associate 1..* Date
+ 1 PickupService associate 1 Route
+ 1 Route associate 1..* Resident
+ 1 SecondHandArticle associate 1 ItemCategory
+ 1 SecondHandArticle associate 1..* Resident
+ 1 Client associate 1..* ItemCategory


+ 1 PickupService contain 1..* ScheduledPickup
+ 1 Vehicle contain 1..* ScheduledPickup
+ 1 Vehicle contain 1 Route
+ 1 Route contain 1..* ScheduledPickup
+ 1 H2S contain 1 DistributionCenter
+ 1 DistributionCenter contain 1..* SecondHandArticle
+ 1 DistributionCenter contain 1..* FoodItem
+ 1 DistributionCenter contain 1..* Client
presicion = 0.14285714285714285
recall = 0.07692307692307693
F1 = 0.1
---------------------3/10------H2S:
AI_answer_after_cut:
+ 1..* Resident associate 1 PickupRequest
+ 1 PickupRequest associate 1..* ItemDescription
+ 1 PickupRequest associate 1 Date
+ 1 PickupRequest associate 1..* ItemCategory
+ 1..* Volunteer associate 1..* Vehicle
+ 1 Vehicle associate 1 Route
+ 1..* ItemDescription associate 1 SecondHandArticle
+ 1 SecondHandArticle associate 1 ItemCategory
+ 1 SecondHandArticle associate 0..1 RFIDTag
+ 1 H2S associate 1 DistributionCenter
+ 1 DistributionCenter associate 0..* Client
+ 1 Client associate 1..* ItemCategory
+ 1 Client associate 1 DeliveryAddress
+ 1 DeliveryAddress associate 1..* DeliveryItem


+ 1 PickupRequest contain 1..* ItemDescription
+ 1 Vehicle contain 1..* ScheduledItem
+ 1 DistributionCenter contain 1..* ReceivedItem
+ 1 Client contain 1 DeliveryAddress
presicion = 0.25
recall = 0.07692307692307693
F1 = 0.11764705882352941
---------------------4/10------H2S:
AI_answer_after_cut:
+ 1..* Resident associate 1 Vehicle
+ 1 Vehicle associate 0..* Route
+ 1 Vehicle associate 0..* Volunteer
+ 1..* Resident associate 1..* ItemCategory
+ 1..* Resident associate 1 Date
+ 1..* Resident associate 1..* SecondHandArticle
+ 1..* SecondHandArticle associate 1 H2S
+ 1..* SecondHandArticle associate 1..* ItemCategory
+ 1..* SecondHandArticle associate 1 Person
+ 1..* Client associate 0..* ItemCategory
+ 1..* Client associate 0..* SecondHandArticle
