---------------------1/10------TSS:
AI_answer_after_cut:
+ 1 HeadCoach associate 0..* PlayerProfile
+ 1 HeadCoach associate 1..* Player
+ 1 HeadCoach associate 1..* ScoutingAssignment
+ 1 HeadCoach associate 1..* ScoutReport
+ 1 HeadCoach associate 1..* Recommendation
+ 1 HeadCoach associate 1..* Scout
+ 1 Director associate 1..* Offer
+ 1 Director associate 1..* Player
+ 1 Director associate 1..* ScoutingAssignment
+ 1 Director associate 1..* ScoutReport
+ 1 Director associate 1..* Recommendation
+ 1 Director associate 1..* Scout
+ 1 Scout associate 0..* ScoutingAssignment
+ 1 Scout associate 0..* ScoutReport
+ 1 Scout associate 0..* Recommendation
+ 1 Player associate 1..* PlayerAttribute
+ 1 Player associate 1 Position
+ 1 Player associate 1 ScoutingStatus
+ 1 ScoutingAssignment associate 1..* Scout
+ 1 ScoutingAssignment associate 0..* ScoutReport
+ 1 ScoutReport associate 1 Recommendation
+ 1 PlayerProfile associate 1..* PlayerAttribute


+ 1 TSS contain 1..* HeadCoach
+ 1 TSS contain 1..* Director
+ 1 TSS contain 1..* Scout
presicion = 0.15
recall = 0.17647058823529413
F1 = 0.16216216216216214
---------------------2/10------TSS:
AI_answer_after_cut:
+ 1..* Scout associate 1 HeadCoach
+ 1..* Scout associate 1 HeadScout
+ 1..* Scout associate 1..* Player
+ 1 Director associate 1..* Offer
+ 1 HeadCoach associate 1..* PlayerProfile
+ 1 HeadScout associate 1..* PlayerProfile
+ 1 HeadCoach associate 1..* ScoutingAssignment
+ 1 HeadScout associate 1..* ScoutingAssignment
+ 1..* Scout associate 1..* ScoutingAssignment
+ 1..* Player associate 1..* PlayerAttribute
+ 1..* Player associate 1 Position
+ 1..* Player associate 1 Recommendation
+ 1..* Player associate 1 ScoutingStatus
+ 1..* Player associate 1 ScoutReport


+ 1 HeadCoach contain 1..* ScoutingAssignment
+ 1 HeadScout contain 1..* ScoutingAssignment
+ 1 Director contain 1..* Offer
presicion = 0.2
recall = 0.11764705882352941
F1 = 0.14814814814814817
---------------------3/10------TSS:
AI_answer_after_cut:
+ 1 HeadCoach associate 0..* PlayerProfile
+ 1 HeadCoach associate 1..* Player
+ 0..* Scout associate 1 Player
+ 1 HeadCoach associate 1 ScoutingAssignment
+ 1 HeadCoach associate 1 Offer
+ 0..* Scout associate 1 ScoutReport
+ 1 Scout associate 1 PlayerProfile
+ 1 Scout associate 1 PlayerAttribute
+ 1 Director associate 1 Offer


+ 1 HeadCoach contain 1..* ScoutingAssignment
+ 1 Scout contain 0..* ScoutReport
presicion = 0.2222222222222222
recall = 0.11764705882352941
F1 = 0.15384615384615383
---------------------4/10------TSS:
AI_answer_after_cut:
+ 1..* HeadCoach associate 0..* PlayerProfile
+ 1 Director associate 0..* Offer
+ 1 HeadCoach associate 0..* ScoutingAssignment
+ 0..* Scout associate 0..* ScoutingAssignment
+ 1..* Scout associate 0..* ScoutReport
+ 1..* PlayerProfile associate 0..* PlayerAttribute


+ 1 HeadCoach contain 0..* PlayerProfile
+ 1 Director contain 0..* Offer
+ 1 HeadCoach contain 0..* ScoutingAssignment
+ 0..* Scout contain 0..* ScoutingAssignment
+ 1..* Scout contain 0..* ScoutReport
+ 1..* PlayerProfile contain 0..* PlayerAttribute
presicion = 0.375
recall = 0.17647058823529413
F1 = 0.24
---------------------5/10------TSS:
AI_answer_after_cut:
+ 1..* Scout associate 1 HeadCoach
+ 1..* Scout associate 1 HeadScout
+ 0..* Player associate 1..* PlayerProfile
+ 1 Scout associate 1..* Player
+ 1 HeadCoach associate 1..* PlayerProfile
+ 1 HeadScout associate 1..* ScoutingAssignment
+ 1..* ScoutingAssignment associate 1 Player
+ 1 ScoutingAssignment associate 1 Scout
+ 1..* ScoutingAssignment associate 1..* ScoutReport
+ 1 Director associate 1..* Offer
+ 1 HeadScout associate 1 Director
+ 1 Player associate 1..* ScoutReport


+ 1 TSS contain 1..* Scout
+ 1 Club contain 1..* Offer
+ 1 Scout contain 1..* ScoutingAssignment
+ 1 ScoutingAssignment contain 1 Player
+ 1 Player contain 1..* ScoutReport
+ 1 PlayerProfile contain 1..* PlayerAttribute
presicion = 0.4
recall = 0.23529411764705882
F1 = 0.29629629629629634
---------------------6/10------TSS:
AI_answer_after_cut:
presicion = 0
recall = 0.0
F1 = 0
---------------------7/10------TSS:
AI_answer_after_cut:
+ 1 HeadCoach associate 1..* PlayerProfile
+ 1 HeadCoach associate 1..* PlayerAttribute
+ 1 HeadCoach associate 1..* ScoutingAssignment
+ 1 HeadCoach associate 1..* ScoutReport
+ 1 Director associate 1 Offer
+ 1 Director associate 1..* Player
+ 1 Director associate 1..* ScoutingAssignment
+ 1 Scout associate 1..* Player
+ 1 Scout associate 1..* ScoutReport
+ 1 Scout associate 1..* ScoutingAssignment


+ 1 HeadCoach contain 0..* Player
+ 1 HeadCoach contain 0..* Scout
+ 1 Director contain 0..* Offer
presicion = 0.2
recall = 0.11764705882352941
F1 = 0.14814814814814817
---------------------8/10------TSS:
AI_answer_after_cut:
+ 1..* Scout associate 1 HeadScout
+ 1 HeadCoach associate 0..* PlayerProfile
+ 1 HeadCoach associate 0..* Player
+ 1 HeadCoach associate 0..* ScoutAssignment
+ 1 HeadCoach associate 0..* ScoutReport
+ 1 HeadCoach associate 1 Director
+ 1 Director associate 0..* Offer
+ 1 Scout associate 0..* PlayerProfile
+ 1 Scout associate 0..* Player
+ 1 Scout associate 0..* ScoutAssignment
+ 1 Scout associate 0..* ScoutReport
+ 1 Scout associate 0..* ScoutingStatus
+ 1 ScoutAssignment associate 1 Player
+ 1 ScoutAssignment associate 1 Scout
+ 1 ScoutAssignment associate 1 PlayerProfile
+ 1 ScoutAssignment associate 1 ScoutingStatus
+ 1 ScoutReport associate 1 Player
+ 1 ScoutReport associate 1 Recommendation
+ 1 Player associate 0..* PlayerAttribute


+ 1 HeadScout contain 0..* Scout
+ 1 HeadCoach contain 0..* ScoutAssignment
+ 1 HeadCoach contain 0..* ScoutReport
+ 1 Director contain 0..* Offer
+ 1 Scout contain 0..* ScoutAssignment
+ 1 Scout contain 0..* ScoutReport
+ 1 ScoutAssignment contain 1 Player
+ 1 ScoutAssignment contain 1 PlayerProfile
+ 1 ScoutAssignment contain 1 ScoutingStatus
+ 1 ScoutReport contain 1 Player
+ 1 Player contain 0..* PlayerAttribute
presicion = 0.11764705882352941
recall = 0.11764705882352941
F1 = 0.11764705882352941
---------------------9/10------TSS:
AI_answer_after_cut:
+ 1 TSS associate * HeadCoach
+ 1 TSS associate * Director
+ 1 TSS associate * Scout
+ * Scout associate 1 ScoutingAssignment
+ * Scout associate 1 ScoutReport
+ 1 HeadCoach associate 1 PlayerProfile
+ * HeadCoach associate * Player
+ * HeadCoach associate 1 ScoutingAssignment
+ * HeadCoach associate 1 Recommendation
+ * Director associate 1 Offer
+ * Scout associate 1 PlayerProfile
+ * Scout associate 1 PlayerAttribute


+ 1 HeadCoach contain * PlayerProfile
+ 1 Scout contain * PlayerProfile
+ 1 Scout contain * PlayerAttribute
+ 1 Scout contain * ScoutingAssignment
+ 1 ScoutingAssignment contain * ScoutReport
presicion = 0.15384615384615385
recall = 0.11764705882352941
F1 = 0.13333333333333333
---------------------10/10------TSS:
AI_answer_after_cut:
