---------------------1/10------SHAS:
AI_answer_after_cut:
+ 1 SmartHome associate 0..* Room
+ 1 Room associate 0..* SensorDevice
+ 1 Room associate 0..* ActuatorDevice
+ 1 SensorDevice associate 1 SensorReading
+ 1 ActuatorDevice associate 1 CommandSequence
+ 1 SmartHome associate 1 ActivityLog
+ 1 SmartHome associate 0..* AlertRule
+ 1 AlertRule associate 1 BinaryExpression
+ 1 AlertRule associate 1 CommandSequence
+ 1 User associate 0..* SmartHome
+ 1 Address associate 1 SmartHome


+ 1 SmartHome contain 1 ActivityLog
presicion = 0.7
recall = 0.2916666666666667
F1 = 0.4117647058823529
---------------------2/10------SHAS:
AI_answer_after_cut:
+ 1 SmartHome associate 0..* Room
+ 1 Room associate 0..* SensorDevice
+ 1 Room associate 0..* ActuatorDevice
+ 1 SensorDevice associate 1 SensorReading
+ 1 ActuatorDevice associate 1 CommandSequence
+ 1 SmartHome associate 1 ActvityLog
+ 1 SmartHome associate 0..* AlertRule
+ 1 AlertRule associate 1 BooleanExpression
+ 1 AlertRule associate 1 CommandSequence
+ 1 User associate 0..* SmartHome
+ 1 SmartHome associate 1 Address


None.
presicion = 0.7
recall = 0.2916666666666667
F1 = 0.4117647058823529
---------------------3/10------SHAS:
AI_answer_after_cut:
+ 1 SmartHome associate 0..* Room
+ 1 Room associate 0..* SensorDevice
+ 1 Room associate 0..* ActuatorDevice
+ 1 SensorDevice associate 1 DeviceStatus
+ 1 ActuatorDevice associate 1 DeviceStatus
+ 1 SensorDevice associate 0..* SensorReading
+ 1 ActuatorDevice associate 0..* ControlCommand
+ 1 SmartHome associate 1 ActvityLog
+ 1 SmartHome associate 0..* AlertRule
+ 1 AlertRule associate 0..* RelationalTerm
+ 1 AlertRule associate 1 CommandSequence
+ 1 User associate 0..* SmartHome
+ 1 Address associate 1 SmartHome


+ 1 SmartHome contain 1 SHAS
+ 1 SHAS contain 0..* User
+ 1 SHAS contain 0..* Address
+ 1 Room contain 0..* SensorDevice
+ 1 Room contain 0..* ActuatorDevice
+ 1 ActvityLog contain 0..* SensorReading
+ 1 ActvityLog contain 0..* ControlCommand
+ 1 SensorReading contain 1 DeviceStatus
+ 1 ControlCommand contain 1 DeviceStatus
+ 1 AlertRule contain 0..* RelationalTerm
+ 1 AlertRule contain 1 CommandSequence
presicion = 0.375
recall = 0.375
F1 = 0.375
---------------------4/10------SHAS:
AI_answer_after_cut:
+ 1 SHAS associate * User 
+ 1 SmartHome associate 1 Address 
+ * SmartHome associate * Room 
+ * Room associate * SensorDevice 
+ * Room associate * ActuatorDevice 
+ * Device associate 1 DeviceStatus 
+ * SensorDevice associate * SensorReading 
+ * ActuatorDevice associate * ControlCommand 
+ 1 SHAS associate * ActivityLog 
+ * AlertRule associate * BooleanExpression 
+ * AlertRule associate * CommandSequence 
+ * User associate * AlertRule 
+ * AlertRule associate * RuleStatus 


+ 1 SmartHome contain * Room 
+ * Room contain * SensorDevice 
+ * Room contain * ActuatorDevice 
+ 1 Device contain 1 DeviceStatus 
+ * SensorDevice contain * SensorReading 
+ * ActuatorDevice contain * ControlCommand 
+ 1 SHAS contain * ActivityLog 
+ * AlertRule contain * BooleanExpression 
+ * AlertRule contain * CommandSequence
presicion = 0.5333333333333333
recall = 0.3333333333333333
F1 = 0.4102564102564102
---------------------5/10------SHAS:
AI_answer_after_cut:
+ 1 SmartHome associate 0..* Room
+ 0..* Room associate 0..* SensorDevice
+ 0..* Room associate 0..* ActuatorDevice
+ 0..* SensorDevice associate 1..* SensorReading
+ 0..* ActuatorDevice associate 1..* ControlCommand
+ 1 SmartHome associate 1 ActvityLog
+ 1 SmartHome associate 0..* AlertRule
+ 1 User associate 0..* AlertRule
+ 0..* AlertRule associate 1..* CommandSequence


+ 1 SmartHome contain 1 Address
presicion = 0.7
recall = 0.2916666666666667
F1 = 0.4117647058823529
---------------------6/10------SHAS:
AI_answer_after_cut:
+ 1 SHAS associate * SmartHome
+ 1 SmartHome associate * Room
