---------------------1/10------OTS:
AI_answer_after_cut:
+ 1..* User associate 0..1 PaymentKind
+ 0..* Tutor associate 0..* TutoringOffer
+ 1..* Tutor associate 0..* TutoringSession
+ 1..* Student associate 1..* TutoringRequest
+ 1..* TutoringSession associate 0..1 SessionStatus
+ 1..* TutoringSession associate 1 Payment


+ 1..* Tutor contain 1..* TutorAvailability
+ 0..* Student contain 1..* TutoringSession
presicion = 0.5
recall = 0.25
F1 = 0.3333333333333333
---------------------2/10------OTS:
AI_answer_after_cut:
+ 1..* Tutor associate 0..* Subject
+ 1..* Tutor associate 0..* TutoringOffer
+ 1 Student associate 0..* TutoringRequest
+ 1 Tutor associate 0..* TutoringRequest
+ 1 Tutor associate 0..* TutoringSession
+ 1 Student associate 0..* TutoringSession
+ 1..* TutoringSession associate 1 Payment


+ 1..* Tutor contain 1 TutorAvailability
+ 1 TutoringOffer contain 1 LevelOfTutoring
+ 1 TutoringSession contain 1 SessionStatus
+ 1 Payment contain 1 PaymentKind
presicion = 0.36363636363636365
recall = 0.25
F1 = 0.2962962962962963
---------------------3/10------OTS:
AI_answer_after_cut:
+ 1..* User associate 0..1 Payment
+ 1..* User associate 0..* TutoringRequest
+ 1..* User associate 0..* TutoringSession
+ 1..* Tutor associate 0..1 TutorAvailability
+ 1..* Tutor associate 0..* TutoringOffer
+ 1..* Tutor associate 0..* TutoringSession
+ 1..* Student associate 0..* TutoringRequest
+ 1..* Student associate 0..* TutoringSession
+ 1..* TutoringRequest associate 0..1 TutoringSession


+ 1..* User contain 0..1 Payment
+ 1..* User contain 0..* TutoringRequest
+ 1..* User contain 0..* TutoringSession
+ 1..* Tutor contain 0..1 TutorAvailability
+ 1..* Tutor contain 0..* TutoringOffer
+ 1..* Tutor contain 0..* TutoringSession
+ 1..* Student contain 0..* TutoringRequest
+ 1..* Student contain 0..* TutoringSession
+ 1..* TutoringRequest contain 0..1 TutoringSession
presicion = 0.2222222222222222
recall = 0.25
F1 = 0.23529411764705882
---------------------4/10------OTS:
AI_answer_after_cut:
+ 0..* User associate 0..* OTS
+ 0..* User associate 0..* Tutor
+ 0..* User associate 0..* Student
+ 0..* Tutor associate 0..* TutoringOffer
+ 0..* Tutor associate 0..* TutorAvailability
+ 0..* Tutor associate 0..* TutoringSession
+ 0..* Tutor associate 0..* Payment
+ 0..* Student associate 0..* TutoringRequest
+ 0..* Student associate 0..* TutoringSession
+ 0..* SessionStatus associate 0..* TutoringSession
+ 0..* PaymentKind associate 0..* Payment


+ 1 OTS contain 0..* User
+ 1 Tutor contain 0..* TutoringOffer
+ 1 Tutor contain 0..* TutorAvailability
+ 1 Tutor contain 0..* TutoringSession
+ 1 Tutor contain 0..* Payment
+ 1 Student contain 0..* TutoringRequest
+ 1 Student contain 0..* TutoringSession
+ 1 Payment contain 0..* PaymentKind
presicion = 0.21052631578947367
recall = 0.25
F1 = 0.22857142857142856
---------------------5/10------OTS:
AI_answer_after_cut:
+ 1..* OTS associate 0..* Tutor
+ 0..* Tutor associate 1..* Subject
+ 1..* Tutor associate 1 LevelOfTutoring
+ 1..* Tutor associate 0..* TutoringOffer
+ 1..* Tutor associate 1 TutorAvailability
+ 1..* Student associate 0..* TutoringRequest
+ 1 TutoringRequest associate 0..* SessionStatus
+ 1 TutoringRequest associate 1 Tutor
+ 1 TutoringSession associate 1 Tutor
+ 1 TutoringSession associate 1 Student
+ 1 Payment associate 1 PaymentKind


+ 1 OTS contain 0..* Tutor
+ 1 Tutor contain 0..* TutoringSession
+ 1 Tutor contain 0..* TutoringOffer
+ 1 Tutor contain 0..* TutorAvailability
+ 1 Student contain 0..* TutoringSession
+ 1 Student contain 0..* TutoringRequest
+ 1 Student contain 0..* Payment
presicion = 0.16666666666666666
recall = 0.1875
F1 = 0.17647058823529413
---------------------6/10------OTS:
AI_answer_after_cut:
+ 1..* Tutor associate 0..* TutoringOffer
+ 1..* Tutor associate 0..* TutorAvailability
+ 0..* Tutor associate 1..* TutoringSession
+ 1..* Student associate 1..* TutoringRequest
+ 1 Tutor associate 1..* TutoringSession
+ 1 Tutor associate 1 Payment


+ 1 Tutor contain 1..* TutoringSession
+ 1 Student contain 1..* TutoringRequest
presicion = 0.375
recall = 0.1875
F1 = 0.25
---------------------7/10------OTS:
AI_answer_after_cut:
+ 1..* Tutor associate 0..* Subject
+ 1..* Tutor associate 0..* TutoringOffer
+ 1..* Tutor associate 0..* TutorAvailability
+ 1..* Student associate 0..* TutoringRequest
+ 1..* Tutor associate 0..* TutoringSession
+ 1..* TutoringSession associate 0..* TutoringSession
+ 1..* TutoringSession associate 0..* Payment


+ 1 Tutor contain 0..* TutoringOffer
+ 1 Tutor contain 0..* TutorAvailability
+ 1 Student contain 0..* TutoringRequest
+ 1 Tutor contain 0..* TutoringSession
+ 1 TutoringSession contain 0..* Payment
presicion = 0.4166666666666667
recall = 0.3125
F1 = 0.35714285714285715
---------------------8/10------OTS:
AI_answer_after_cut:
+ 1..* Tutor associate 0..* Subject
+ 1..* Tutor associate 0..* TutorAvailability
+ 1..* Student associate 0..* TutoringRequest
+ 1..* Tutor associate 0..* TutoringRequest
+ 1..* TutoringSession associate 1..* TutoringSession
+ 1..* TutoringSession associate 1..* Tutor
+ 1..* TutoringSession associate 1..* Student
+ 0..* TutoringSession associate 1..* SessionStatus


+ 1 Student contain 0..* TutoringSession
+ 1 Tutor contain 0..* TutoringSession
+ 0..* Tutor contain 0..* TutoringOffer
+ 0..* TutoringRequest contain 1 TutoringSession
+ 0..* TutoringSession contain 1 Payment
presicion = 0.46153846153846156
recall = 0.375
F1 = 0.41379310344827586
---------------------9/10------OTS:
AI_answer_after_cut:
+ 1..* Tutor associate 0..* TutoringOffer
+ 1..* TutoringOffer associate 1 Tutor
+ 1 Student associate 1..* TutoringRequest
+ 1 Tutor associate 1..* TutoringSession
+ 1 TutoringSession associate 1 Student
+ 1 TutoringSession associate 1..* TutoringSession (for follow-up sessions)


+ 1 Tutor contain 0..* TutorAvailability
+ 1 TutoringSession contain 1 Payment
presicion = 0.5714285714285714
recall = 0.25
F1 = 0.34782608695652173
---------------------10/10------OTS:
AI_answer_after_cut:
+ 1..* OTS associate 0..* User
+ 1..* User associate 0..* Tutor
+ 0..* Tutor associate 1..* TutoringOffer
+ 0..* Tutor associate 1..* TutorAvailability
+ 1..* User associate 0..* Student
+ 0..* Student associate 1..* TutoringRequest
+ 0..* Tutor associate 1..* TutoringSession
+ 0..* TutoringSession associate 1..* TutoringSession


+ 1..* Tutor contain 1..* TutoringOffer
+ 1..* Tutor contain 1..* TutorAvailability
+ 1..* Student contain 1..* TutoringRequest
+ 1..* Tutor contain 1..* TutoringSession
+ 1 TutoringSession contain 1 Payment
presicion = 0.46153846153846156
recall = 0.375
F1 = 0.41379310344827586
average_presicion = 0.37492237294868874
average_recall = 0.26875
average_F1 = 0.30525209150793414
