name,presicion,recall,F1
TSS,0.2438395989974937,0.12941176470588237,0.15393065851866694
CeIO,0.28936475804896855,0.24705882352941172,0.2643601917795466
BTMS,0.5662157287157288,0.4666666666666666,0.5027017298147329
H2S,0.2176190476190476,0.12307692307692308,0.14981178436286796
Lab Requisition Management System,0.13482517482517484,0.095,0.1093967322999581
Hotel Booking Management System (HBMS),0.13427418036676544,0.2545454545454545,0.17358792405851228
SHAS,0.6062454212454214,0.2666666666666667,0.36261580933632265
OTS,0.37492237294868874,0.26875,0.30525209150793414
DBA,0.41207812311527486,0.3368421052631579,0.36197168909435384
TiOA,0.34150118886960995,0.38333333333333336,0.32984187855155594
