------------------------------------------------------------
------------------------------------------------------------
---------------------1/10------Hotel Booking Management System (HBMS):
------------------------------------------------------------
---------------------Prediction AI:
"User:Generate the lists of enumerations, classes and attributes from a given <Description>.
#Description 
Hotel Booking Management System (HBMS)

Business travellers use HMBS for booking special accommodation deals offered by participating hotels. Travellers register to HBMS by providing their name, billing information (incl. company name and address) and optional travel preferences (e.g. breakfast included, free wifi, 24/7 front desk, etc.).

When searching for accommodation, the traveller specifies the city, the date of arrival and departure, the number of needed rooms and the type of rooms (e.g. single, double, twin), minimum hotel rating (stars), a tentative budget (max. cost per night), and optionally, further travel preferences to filter offers in the search results. HBMS lists all available offers of hotels for the given travel period, and the traveller can either create a preliminary booking or complete a booking in the regular way.

In case of a preliminary booking, HBMS forwards the key parameters of the booking information (i.e. price, city area, hotel rating and key preferences and a unique booking identifier) to other hotels so that they can compete for the traveller with special offers provided within the next 24 hours. After 24-hour deadline, HBMS sends the five best special offers to the traveller who can switch to the new offer or proceed with the original preliminary booking.

In both cases, the traveller needs to provide credit card information to finalize a booking. Each finalized booking can be either pre-paid (i.e. paid immediately when it cannot be reimbursed), or paid at hotel (when the traveller pays during his/her stay). A finalized booking needs to be confirmed by the hotel within 24 hours. A booking may also contain a cancellation deadline: if the traveller cancels a confirmed booking before this deadline, then there are no further consequences. However, if a confirmed booking is cancelled after this deadline, then 1-night accommodation is charged for the traveller. HBMS stores all past booking information for a traveller to calculate a reliability rating.

Each hotel is located in a city at a particular address, and possibly run by a hotel chain. A hotel may announce its available types of rooms for a given period in HBMS, and may also inform HBMS when a particular type of room is fully booked. HBMS sends information about the preliminary booking information to competitor hotels together with the traveller's preferences and his/her reliability rating. The competitor hotels may then provide a special offer. Once a booking is finalized, the hotel needs to send a confirmation to the traveller. If a completed booking is not confirmed by the hotel within 24 hours, then HBMS needs to cancel it, and reimburse the traveller in case of a pre-paid booking. If the hotel needs to cancel a confirmed booking, then financial compensation must be offered to the traveller.

AI:### Enumerations:
1. RoomType {Single, Double, Twin}
2. PaymentType {PrePaid, PayAtHotel}

### Classes:
1. Traveller
   - Attributes:
     - name: String
     - billingInformation: BillingInformation
     - travelPreferences: List<String>

2. Hotel
   - Attributes:
     - name: String
     - city: String
     - address: String
     - rating: int
     - roomTypesAvailable: List<RoomType>
     - hotelChain: String

3. Booking
   - Attributes:
     - traveller: Traveller
     - hotel: Hotel
     - checkInDate: Date
     - checkOutDate: Date
     - numberOfRooms: int
     - roomType: RoomType
     - minRating: int
     - maxBudget: double
     - paymentType: PaymentType
     - bookingStatus: String
     - bookingIdentifier: String
     - creditCardInformation: CreditCardInformation
     - confirmationDeadline: Date

4. CreditCardInformation
   - Attributes:
     - cardNumber: String
     - expiryDate: Date
     - cvv: String

5. BillingInformation
   - Attributes:
     - companyName: String
     - companyAddress: String

6. CompetitorHotel
